epoch,train_loss,val_loss
0,3.49e-05,0.000479
1,0.000214,0.00135
2,5.38e-05,0.000133
3,7.9e-05,0.00025
4,4.36e-05,0.00031
5,0.000212,0.000104
6,2.01e-06,9.01e-05
7,2.75e-05,7.41e-05
8,9.34e-06,8.44e-05
9,1.12e-05,0.000159
10,5.25e-06,9.72e-05
11,4.39e-05,0.000101
12,2.01e-05,9.94e-05
13,5.12e-05,0.000138
14,1.19e-05,5.3e-05
15,1.98e-05,5.19e-05
16,4.06e-05,6.14e-05
17,4.38e-05,5.13e-05
18,3.66e-06,9.75e-05
19,1.23e-05,5.19e-05
20,1.19e-05,4.58e-05
21,0.000118,0.00017
22,1.08e-05,6.12e-05
23,0.000218,5.79e-05
24,4.66e-06,6.54e-05
25,3.39e-05,5.99e-05
26,3.1e-06,4.19e-05
27,3.62e-06,0.00021
28,7e-05,7.3e-05
29,0.0025,0.000791
30,1.07e-06,3.89e-05
31,4.67e-06,4.35e-05
32,1.57e-05,4.97e-05
33,2.31e-06,6.16e-05
34,6.98e-06,4.17e-05
35,7.48e-06,4.98e-05
36,7.03e-06,4.64e-05
37,3.42e-06,5.04e-05
38,1.71e-05,5.22e-05
39,4.59e-06,4.23e-05
40,6.98e-06,4.28e-05
41,2.31e-06,8.72e-05
42,2.66e-06,5.09e-05
43,1.15e-05,4.7e-05
44,0.00464,0.00091
45,2.38e-05,5.7e-05
46,1.54e-05,4.09e-05
47,1.33e-06,5.25e-05
48,5.47e-06,3.95e-05
49,5.27e-05,4.72e-05
50,5.23e-06,4.32e-05
51,2.08e-05,4.41e-05
52,3.36e-06,4.55e-05
53,1.8e-06,3.79e-05
54,1.78e-06,3.87e-05
55,4.95e-05,5.61e-05
56,1.87e-05,4.09e-05
57,4.19e-06,4.11e-05
58,5.72e-05,5.52e-05
59,0.000715,0.000119
60,6.56e-07,3.81e-05
61,4.39e-06,3.8e-05
62,4.56e-06,3.95e-05
63,1.48e-05,3.95e-05
64,2.35e-05,9.67e-05
65,1.4e-06,4.99e-05
66,3.22e-07,3.9e-05
67,1.4e-06,3.94e-05
68,1.99e-07,3.8e-05
69,4.77e-06,4.04e-05
70,1.32e-05,6.73e-05
71,4.03e-06,4.94e-05
72,5.05e-06,5.98e-05
73,2.31e-05,4.85e-05
74,9.21e-06,5.4e-05
75,4.14e-05,4.51e-05
76,5.86e-05,4.41e-05
77,6.71e-06,5.22e-05
78,4.38e-06,5.58e-05
79,9.31e-06,7.47e-05
80,2.04e-05,8.75e-05
81,7.82e-05,4.37e-05
82,5.81e-06,6.47e-05
83,0.000853,7.31e-05
84,1.04e-06,4.47e-05
85,1.88e-06,4.07e-05
86,4.02e-06,6.15e-05
87,1.39e-05,4.52e-05
88,7.58e-07,7.38e-05
89,3.72e-06,3.95e-05
90,1.65e-05,0.00014
91,1.35e-06,3.81e-05
92,1.4e-06,3.97e-05
93,3.49e-06,4.39e-05
94,3.64e-05,4.09e-05
95,1.32e-06,8.89e-05
96,1.36e-05,4.69e-05
97,3.73e-07,4.08e-05
98,1.08e-05,7.89e-05
99,1.15e-05,4.22e-05
100,1.4e-05,4.21e-05
101,2.32e-05,4.61e-05
102,4.84e-06,3.99e-05
103,3.49e-05,4.85e-05
104,8.3e-08,5.12e-05
105,3.83e-06,4.12e-05
106,7.75e-07,3.75e-05
107,1.48e-05,4.47e-05
108,3.16e-06,5.24e-05
109,1.43e-05,5.79e-05
110,2.95e-06,6.81e-05
111,4.62e-06,4.6e-05
112,3.81e-06,4.03e-05
113,1.57e-06,4.08e-05
114,3.68e-07,4.06e-05
115,1.76e-06,3.87e-05
116,1.49e-05,3.96e-05
117,4.08e-06,4.75e-05
118,5.35e-07,4.24e-05
119,1.37e-06,3.94e-05
120,3.91e-06,3.9e-05
121,3.16e-05,4.48e-05
122,1.39e-05,5.75e-05
123,3.9e-05,4.92e-05
124,2.69e-06,3.9e-05
125,2.1e-06,3.96e-05
126,8.24e-06,4.15e-05
127,4.84e-07,3.75e-05
128,7.37e-07,3.81e-05
129,9.52e-06,4.21e-05
130,1.98e-06,3.89e-05
131,2.79e-06,4.23e-05
132,2.58e-07,4.05e-05
133,3.75e-05,8.96e-05
134,3.15e-05,5.01e-05
135,1.58e-06,5.37e-05
136,4.43e-05,0.000199
137,9.69e-06,5.33e-05
138,1.5e-05,4.59e-05
139,2.09e-06,4.17e-05
140,8.01e-06,4.71e-05
141,1.91e-05,5.4e-05
142,1.75e-06,5.26e-05
143,8.07e-06,4.37e-05
144,2.33e-06,6.78e-05
145,3.08e-06,4.74e-05
146,3.69e-06,4.62e-05
147,4.02e-06,5.34e-05
148,4.1e-06,4.92e-05
149,2.44e-06,3.79e-05
150,3.24e-06,5.91e-05
151,1.61e-05,4.33e-05
152,4.11e-06,4.53e-05
153,2.32e-06,4.26e-05
154,2.6e-06,3.88e-05
155,2.58e-05,3.87e-05
156,1.7e-06,5.63e-05
157,5.07e-06,3.86e-05
158,2.97e-06,3.81e-05
159,1.27e-05,8.28e-05
160,7.21e-05,0.000717
161,0.000151,0.000141
162,0.000185,9.86e-05
163,7.42e-06,7.11e-05
164,3.04e-05,6.56e-05
165,0.000126,5.15e-05
166,1.35e-05,4.86e-05
167,2.83e-05,4.5e-05
168,1.02e-05,4.15e-05
169,3.46e-06,4.19e-05
170,1.12e-06,4.12e-05
171,3.4e-06,4.01e-05
172,4.39e-06,8.36e-05
173,2.82e-06,4.1e-05
174,6.51e-05,4e-05
175,5.5e-06,3.98e-05
176,8.61e-06,4.1e-05
177,2.4e-06,4.7e-05
178,3.49e-05,4.52e-05
179,1.08e-05,4.18e-05
180,2.26e-05,4.29e-05
181,2.6e-06,4.02e-05
182,4.18e-05,4.5e-05
183,1.54e-06,5.19e-05
184,2.16e-06,3.93e-05
185,1.14e-06,4.24e-05
186,5e-06,4.14e-05
187,9.11e-06,4.65e-05
188,3.49e-06,4.33e-05
189,1.49e-05,3.95e-05
190,1.77e-06,3.77e-05
191,2.09e-06,4.01e-05
192,4.62e-06,4.46e-05
193,1e-05,5.75e-05
194,1.48e-06,4.02e-05
195,1.83e-05,4.25e-05
196,3.84e-06,3.97e-05
197,1.5e-06,5.6e-05
198,2.21e-06,4.11e-05
199,4.7e-07,4.52e-05
200,1.52e-05,4.18e-05
201,2.83e-05,0.000127
202,3.36e-07,4.22e-05
203,2e-05,5.23e-05
204,6.34e-07,3.84e-05
205,8.43e-06,3.9e-05
206,1.93e-06,3.88e-05
207,8.63e-07,4.3e-05
208,5.33e-06,5.61e-05
209,1.5e-05,5.59e-05
210,8.34e-06,4.19e-05
211,3.15e-05,4.5e-05
212,6.92e-07,4.72e-05
213,2.19e-05,5.52e-05
214,3.6e-07,3.83e-05
215,2.32e-06,4.21e-05
216,2.23e-05,4.35e-05
217,5.3e-06,4.19e-05
218,2.66e-06,4.46e-05
219,2.32e-05,5.02e-05
220,1.59e-06,4.08e-05
221,2.39e-05,3.78e-05
222,9.79e-08,4.92e-05
223,1.8e-05,4.14e-05
224,2.47e-05,4.55e-05
225,8.95e-07,4.52e-05
226,1.2e-05,4.07e-05
227,5.69e-07,3.97e-05
228,7.29e-06,4.22e-05
229,3.08e-05,4.79e-05
230,2.09e-06,3.73e-05
231,2.55e-06,3.94e-05
