number,value,datetime_start,datetime_complete,duration,params_lambda1,params_lambda2,user_attrs_delta0_after1,user_attrs_delta0_after2,user_attrs_delta1_after2,user_attrs_val_update1,user_attrs_val_update2,state
0,9.61882822705447,2025-06-18 01:35:37.529808,2025-06-18 02:20:00.666161,0 days 00:44:23.136353,80297.42343416394,22198.515381069123,0.0009217467,0.033333614,-0.061054014,0.0012882863752128365,0.0009089821662273925,COMPLETE
1,26.25993052789937,2025-06-18 02:20:00.678988,2025-06-18 03:05:49.531040,0 days 00:45:48.852052,13818.068524381762,23615.911207351342,0.003457768,0.18041562,0.07789568,0.0011370377552818007,0.000938570671887686,COMPLETE
2,6.530589310539807,2025-06-18 03:05:49.534964,2025-06-18 03:50:54.252598,0 days 00:45:04.717634,2.124749853626591,1.8824968801427804,0.0009176247,0.004205715,0.058431596,0.0014242606997282386,0.002953134170519339,COMPLETE
3,9.700988110949558,2025-06-18 03:50:54.255171,2025-06-18 04:51:26.387765,0 days 01:00:32.132594,0.05986522156428944,0.053258244890918814,0.0028376617,0.04670529,-0.046595767,0.001981899457212697,0.0001960046432541117,COMPLETE
4,2.2905146371488967,2025-06-18 04:51:26.403993,2025-06-18 05:47:25.622850,0 days 00:55:59.218857,5.743865861546589,31.752441744729584,0.0021664407,0.0048350208,-0.014779545,0.001520612264752929,0.0012897365940933007,COMPLETE
5,13.133356542162442,2025-06-18 05:47:25.624837,2025-06-18 06:52:25.898444,0 days 01:05:00.273607,90251.10110918917,0.16974278087635836,0.0013377331,0.096845254,0.032502115,0.0015051796503230879,0.00011597841736886246,COMPLETE
6,8.696649889453868,2025-06-18 06:52:25.917729,2025-06-18 07:33:22.539632,0 days 00:40:56.621903,13.226096832566682,0.010335904866426295,0.0017718133,0.07822762,0.0060114563,0.001462041819905977,0.0009269895258543385,COMPLETE
7,9.64993561708429,2025-06-18 07:33:22.541178,2025-06-18 08:25:31.935487,0 days 00:52:09.394309,25373.06541502792,14394.18574500124,0.0031445324,0.020912768,0.07176533,0.001021814941091362,0.0006699900474663932,COMPLETE
8,6.930300377859888,2025-06-18 08:25:31.938257,2025-06-18 09:22:59.397304,0 days 00:57:27.459047,293.79785514014105,3247.2449559066226,0.0015685782,0.042518415,0.024624743,0.0009105530079258577,0.0005676181681455325,COMPLETE
9,7.933547035307352,2025-06-18 09:22:59.398855,2025-06-18 10:17:59.775106,0 days 00:55:00.376251,10.69719457062996,10538.441587361744,0.0008107014,0.02252992,0.055274975,0.0011314551164169626,0.0006682294714656012,COMPLETE
10,7.106562374772267,2025-06-18 10:17:59.776481,2025-06-18 11:09:27.533712,0 days 00:51:27.757231,0.030441538340418395,112.5059008414193,0.0042645615,0.026389131,-0.03963001,0.001041617898131051,0.0009131827061933844,COMPLETE
11,20.166205640436175,2025-06-18 11:09:27.535134,2025-06-18 11:49:45.307319,0 days 00:40:17.772185,0.6980184031057343,3.903596995197375,0.013498502,0.14591567,0.040900066,0.001346908145641709,0.0020226315399295702,COMPLETE
12,5.453077810402395,2025-06-18 11:49:45.321070,2025-06-18 12:42:57.670766,0 days 00:53:12.349696,0.7357835298492961,16.787755898042995,0.0028321054,0.01633242,-0.034694795,0.0011783780739195444,0.000500268341445234,COMPLETE
13,23.49708276347594,2025-06-18 12:42:57.672351,2025-06-18 13:28:57.345366,0 days 00:45:59.673015,124.19123263658902,129.02083862911672,0.0027069654,0.15884577,0.07239332,0.0014189260898863688,0.001143009718940273,COMPLETE
14,6.101876743488258,2025-06-18 13:28:57.347901,2025-06-18 14:25:16.832150,0 days 00:56:19.484249,0.5745970715910674,18.276410281547225,0.004498275,0.007450253,-0.048260055,0.0012990718412346678,0.0007263886193672333,COMPLETE
15,2.293880152579752,2025-06-18 14:25:16.853254,2025-06-18 15:04:21.739698,0 days 00:39:04.886444,889.8290174309973,837.670691314727,0.0018616673,0.0068415552,0.013104014,0.0013444312126321733,0.0014844811095067658,COMPLETE
16,4.109526316680558,2025-06-18 15:04:21.741293,2025-06-18 15:53:59.215152,0 days 00:49:37.473859,1585.2756296036014,1087.7743256019023,0.0023050457,0.018746706,0.019169211,0.0015048586740241733,0.0006808921496436461,COMPLETE
17,19.67280672092816,2025-06-18 15:53:59.216621,2025-06-18 16:38:13.508904,0 days 00:44:14.292283,1162.2214549069045,490.3972820527537,0.004612429,0.13850316,0.052620627,0.0014651765316373096,0.0010144412253605096,COMPLETE
18,4.496176495151221,2025-06-18 16:38:13.510518,2025-06-18 17:25:47.727243,0 days 00:47:34.216725,74.72231542478455,2.007982608132371,0.005076425,0.03728541,-0.0015789792,0.0013965976231791416,0.0011557792256898644,COMPLETE
19,27.475220613485533,2025-06-18 17:25:47.729380,2025-06-18 18:43:17.685490,0 days 01:17:29.956110,1025.3817891517708,173.73030098024975,-0.0068722013,0.13067436,0.13688187,0.000612614081642034,0.00019680992395474853,COMPLETE
20,1.6144723665814975,2025-06-18 18:43:17.687420,2025-06-18 19:43:12.145259,0 days 00:59:54.457839,4883.752872765433,1548.240832118842,0.0008583255,0.008435819,0.006066121,0.001368109595930491,0.0005930346430316933,COMPLETE
21,14.934611643375343,2025-06-18 19:43:12.147437,2025-06-18 20:25:23.957041,0 days 00:42:11.809604,4675.123129021821,96422.03886698304,0.00068742596,0.12585065,0.021459445,0.001521599204347126,0.0018498943766246563,COMPLETE
22,4.661050833985287,2025-06-18 20:25:23.959026,2025-06-18 21:20:48.165696,0 days 00:55:24.206670,317.6675887147154,1681.904021169888,0.0031416453,0.006696338,0.035869956,0.001250137976967487,0.0010062848910329433,COMPLETE
23,8.87314172570684,2025-06-18 21:20:48.167677,2025-06-18 22:17:11.726008,0 days 00:56:23.558331,18.26242513162556,332.7738124837175,0.005490765,0.039675787,-0.04278467,0.0013275175056745477,0.0006229742070095457,COMPLETE
24,3.5405642609665025,2025-06-18 22:17:11.745635,2025-06-18 23:21:53.978168,0 days 01:04:42.232533,5581.708298042991,30.883531528305593,0.0022170953,0.011540445,-0.020878162,0.0014038596470662208,0.0005209915068966573,COMPLETE
25,9.323193342244195,2025-06-18 23:21:53.980002,2025-06-19 00:10:59.829573,0 days 00:49:05.849571,100.06441347649556,5161.912303380752,0.0015103798,0.0558362,-0.035211857,0.0012136985999697052,0.0004700400602358686,COMPLETE
26,4.780876908052572,2025-06-19 00:10:59.833358,2025-06-19 01:21:16.789709,0 days 01:10:16.956351,3.835207751217734,66.97271956189026,0.0018784963,0.012204142,0.03266771,0.0014229883179515516,0.0012230595734419544,COMPLETE
27,9.502635895961166,2025-06-19 01:21:16.791659,2025-06-19 02:39:31.517257,0 days 01:18:14.725598,4940.836046640828,699.2990220831922,0.0021210741,0.04105556,-0.051354684,0.0011649985709164465,7.26033960815255e-05,COMPLETE
28,5.454167209380667,2025-06-19 02:39:31.519830,2025-06-19 03:47:36.360258,0 days 01:08:04.840428,681.9344783645757,6.343468238694235,0.0034048054,0.04921048,-0.0013622306,0.001048050513713333,0.0003623361930213757,COMPLETE
29,25.625350812282285,2025-06-19 03:47:36.362382,2025-06-19 04:36:17.350666,0 days 00:48:40.988284,21358.628956577908,0.5179047428264689,0.0023823585,0.18366984,0.06881185,0.0014647160886512114,0.002008947656327963,COMPLETE
30,8.207055945002825,2025-06-19 04:36:17.381717,2025-06-19 05:50:48.074894,0 days 01:14:30.693177,0.13422123088825974,51961.41565460037,0.0018970221,0.068754554,-0.010766394,0.0012230229080380996,0.0004084498187190015,COMPLETE
31,10.996861888978717,2025-06-19 05:50:48.077038,2025-06-19 06:35:27.826246,0 days 00:44:39.749208,3150.396984919638,38.89596598006879,0.011797657,0.087255485,-0.009995524,0.0014118646054418248,0.0008880165377763958,COMPLETE
32,11.153499722569677,2025-06-19 06:35:27.828434,2025-06-19 07:32:27.499724,0 days 00:56:59.671290,10191.262012367966,11.453849105137467,0.0019516665,0.09038059,-0.018228471,0.0015666091504723514,0.0008690726344131023,COMPLETE
