number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_seq_length,params_weight_decay,state
0,0.0009861780790200868,2025-06-09 20:50:13.879773,2025-06-09 22:27:57.687546,0 days 01:37:43.807773,16,0.4,32,5,576,0.0,COMPLETE
1,0.0013669470843341639,2025-06-09 22:27:57.689198,2025-06-10 11:48:54.090713,0 days 13:20:56.401515,32,0.0,256,5,720,0.0,COMPLETE
2,0.000598409550559665,2025-06-10 11:48:54.093139,2025-06-10 12:37:09.902381,0 days 00:48:15.809242,64,0.5,128,5,144,1e-05,COMPLETE
3,0.00041546008912129247,2025-06-10 12:37:09.904307,2025-06-10 12:52:34.877117,0 days 00:15:24.972810,64,0.3,64,2,144,1e-05,COMPLETE
4,0.0005117730899451985,2025-06-10 12:52:34.879667,2025-06-10 13:23:53.019883,0 days 00:31:18.140216,128,0.2,64,4,288,1e-05,COMPLETE
5,0.001145058946482689,2025-06-10 13:23:53.021588,2025-06-10 13:48:40.876822,0 days 00:24:47.855234,128,0.3,32,3,864,1e-05,COMPLETE
6,0.000647940546464335,2025-06-10 13:48:40.878340,2025-06-10 14:17:07.974619,0 days 00:28:27.096279,64,0.0,32,2,720,0.0,COMPLETE
7,0.0007160022718190027,2025-06-10 14:17:07.976105,2025-06-10 15:12:38.296839,0 days 00:55:30.320734,32,0.5,32,3,144,0.0001,COMPLETE
8,0.0005953535551706937,2025-06-10 15:12:38.298388,2025-06-10 16:57:02.573319,0 days 01:44:24.274931,16,0.4,32,3,432,1e-05,COMPLETE
9,0.0024056871988824484,2025-06-10 16:57:02.574927,2025-06-10 17:58:05.643883,0 days 01:01:03.068956,64,0.0,32,4,1008,1e-05,COMPLETE
10,0.0005238532483297233,2025-06-10 17:58:05.645793,2025-06-10 18:17:52.728928,0 days 00:19:47.083135,64,0.3,64,2,144,1e-06,COMPLETE
11,0.0006157469450919943,2025-06-10 18:17:52.730484,2025-06-10 18:38:27.315475,0 days 00:20:34.584991,128,0.2,64,4,288,1e-05,COMPLETE
12,0.0008191403328588858,2025-06-10 18:38:27.317330,2025-06-10 19:04:53.997321,0 days 00:26:26.679991,128,0.2,64,4,288,0.0001,COMPLETE
13,0.00023083238651312984,2025-06-10 19:04:53.998795,2025-06-10 19:31:13.662557,0 days 00:26:19.663762,128,0.1,64,2,288,1e-06,COMPLETE
