epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
1,0.014673043085665312,0.001894388881505701,0.0001,58.400805950164795,0.00821122963645722,0.0,0.006461813440031653
2,0.010936502910388581,0.001736131523786558,0.0001,57.739407777786255,0.006101070457496088,0.0,0.004835432455573734
3,0.008340438579391502,0.0020625971857781114,0.0001,57.58438754081726,0.004829151310712814,0.0,0.0035112872701913668
4,0.006962828041403099,0.0012788751208466919,0.0001,58.10113716125488,0.004497343920890235,0.0,0.0024654841182545997
5,0.005031861325841594,0.002050162389594204,0.0001,58.08672094345093,0.0033629676005718884,0.0,0.0016688937231261463
6,0.003652163764163239,0.001845418304965522,0.0001,57.9834840297699,0.002590829834154775,0.0,0.0010613339336109338
7,0.0025786963833822484,0.0018754533588041715,0.0001,57.88490962982178,0.0019386113538075664,0.0,0.0006400850252355883
8,0.001478816563033035,0.0027469718410215397,0.0001,57.931742906570435,0.0011182171371014974,0.0,0.00036059942505959643
9,0.0009193230097863704,0.0028682449143949437,0.0001,58.141242265701294,0.0007146263544081207,0.0,0.0002046966560906783
10,0.0007457732423121048,0.002258393000080738,5e-05,63.31152939796448,0.000620804961732662,0.0,0.0001249682804311321
11,0.000522060272402558,0.0036528092639287026,5e-05,66.1758222579956,0.0004400889922376993,0.0,8.197128060642998e-05
12,0.0004347410086015884,0.004344996819561727,5e-05,57.984408378601074,0.0003799668436079271,0.0,5.4774164752712565e-05
13,0.00036206427388567656,0.0039034611065184525,5e-05,58.63158702850342,0.00032640814095521645,0.0,3.565613286196164e-05
14,0.00034845096876359244,0.004709236036990814,5e-05,57.88678193092346,0.00032397940253200877,0.0,2.4471566328086396e-05
15,0.0003303920461649337,0.0045851639761961644,5e-05,58.25372266769409,0.0003125567223511514,0.0,1.783532357277751e-05
16,0.00031535224203090966,0.004040362113261965,2.5e-05,57.79891347885132,0.0003023643668726334,0.0,1.2987875443023652e-05
17,0.00026970258554377316,0.00473124987499302,2.5e-05,58.20242667198181,0.0002598954885627348,0.0,9.80709728919735e-06
18,0.0002582572646143623,0.004290831365745293,2.5e-05,58.160404443740845,0.00025001047090044836,0.0,8.246793749171297e-06
19,0.00023562657709381605,0.004756782905131851,2.5e-05,58.111480712890625,0.00022836430951122811,0.0,7.262267457352844e-06
20,0.0002307105755028666,0.004715837863779728,2.5e-05,57.676361322402954,0.00022438371288131527,0.0,6.326862639894137e-06
21,0.00021327051131952288,0.004707206046737968,2.5e-05,57.64621114730835,0.0002079954967010305,0.0,5.275014984060106e-06
22,0.00021284790518755567,0.004929082188295654,1.25e-05,57.94646120071411,0.00020830838697645144,0.0,4.5395182818990205e-06
23,0.00017771445410091837,0.0051598114776541994,1.25e-05,58.102569341659546,0.00017333490085832964,0.0,4.379553078679736e-06
24,0.000175780777474736,0.0051619179514188675,1.25e-05,57.80171298980713,0.0001716475522904377,0.0,4.133225140667624e-06
