number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN_SIZE,params_NUM_LAYERS,params_SEQUENCE_LENGTH,params_WEIGHT_DECAY,user_attrs_best_epoch,state
0,0.00039760357651959265,2025-05-01 13:36:58.866325,2025-05-01 14:34:14.996372,0 days 00:57:16.130047,16,0.0,32,2,54,0.0,14,COMPLETE
1,0.0010087852209481778,2025-05-01 14:34:15.002029,2025-05-01 16:01:41.917981,0 days 01:27:26.915952,16,0.30000000000000004,128,3,27,0.0001,21,COMPLETE
2,0.0004438446551592037,2025-05-01 16:01:41.922259,2025-05-01 16:38:30.029438,0 days 00:36:48.107179,64,0.5,64,5,86,0.0,27,COMPLETE
3,0.0018211794673796986,2025-05-01 16:38:30.032256,2025-05-01 16:55:33.896459,0 days 00:17:03.864203,64,0.30000000000000004,32,4,5,1e-06,14,COMPLETE
4,0.0014976682821475852,2025-05-01 16:55:33.899014,2025-05-01 17:09:55.929689,0 days 00:14:22.030675,64,0.4,256,3,13,1e-05,6,COMPLETE
5,0.0003402674528843957,2025-05-01 17:09:55.933436,2025-05-01 18:12:43.463479,0 days 01:02:47.530043,16,0.4,128,4,112,0.0001,8,COMPLETE
6,0.0007770492883259889,2025-05-01 18:12:43.465376,2025-05-01 18:57:42.415930,0 days 00:44:58.950554,32,0.0,256,3,45,0.0001,10,COMPLETE
7,0.002157024896852894,2025-05-01 18:57:42.417970,2025-05-01 19:42:33.616880,0 days 00:44:51.198910,32,0.5,128,4,4,1e-05,20,COMPLETE
8,0.00023882183195977606,2025-05-01 19:42:33.631970,2025-05-01 20:17:08.024979,0 days 00:34:34.393009,64,0.5,128,2,134,1e-05,20,COMPLETE
9,0.00032664099138701144,2025-05-01 20:17:08.033715,2025-05-01 20:49:05.190613,0 days 00:31:57.156898,64,0.0,32,2,118,1e-06,31,COMPLETE
10,0.00030982095072575223,2025-05-01 20:49:05.192427,2025-05-01 21:12:26.266994,0 days 00:23:21.074567,64,0.2,64,2,142,1e-05,14,COMPLETE
11,0.0004889926299656619,2025-05-01 21:12:26.268860,2025-05-01 21:37:08.372545,0 days 00:24:42.103685,64,0.2,64,2,143,1e-05,14,COMPLETE
12,0.00032803052727047467,2025-05-01 21:37:08.382567,2025-05-01 22:23:52.528613,0 days 00:46:44.146046,64,0.2,64,2,141,1e-05,14,COMPLETE
13,0.0003515945214153079,2025-05-01 22:23:52.530791,2025-05-01 22:41:56.360326,0 days 00:18:03.829535,64,0.1,64,2,108,1e-05,16,COMPLETE
14,0.000392625047071567,2025-05-01 22:41:56.362269,2025-05-01 23:10:07.741846,0 days 00:28:11.379577,64,0.1,128,3,84,1e-05,21,COMPLETE
15,0.000410385435211887,2025-05-01 23:10:07.743846,2025-05-01 23:51:21.021392,0 days 00:41:13.277546,32,0.4,64,5,127,1e-05,9,COMPLETE
16,0.000279014263160713,2025-05-01 23:51:21.037122,2025-05-02 00:40:08.757569,0 days 00:48:47.720447,64,0.2,128,2,96,1e-05,23,COMPLETE
17,0.0004690155147676121,2025-05-02 00:40:08.761109,2025-05-02 00:59:17.242517,0 days 00:19:08.481408,64,0.30000000000000004,128,3,95,0.0,9,COMPLETE
18,0.0008854299885239347,2025-05-02 00:59:17.244143,2025-05-02 01:23:15.702438,0 days 00:23:58.458295,32,0.1,128,2,56,1e-06,10,COMPLETE
19,0.0008750433764268199,2025-05-02 01:23:15.704035,2025-05-02 02:45:57.503516,0 days 01:22:41.799481,16,0.5,128,3,70,1e-05,13,COMPLETE
20,0.0005311623356169097,2025-05-02 02:45:57.505060,2025-05-02 03:00:56.778375,0 days 00:14:59.273315,64,0.4,128,2,100,1e-05,9,COMPLETE
21,0.0004922863927038505,2025-05-02 03:00:56.780125,2025-05-02 03:48:47.877509,0 days 00:47:51.097384,64,0.2,256,2,130,1e-05,8,COMPLETE
22,0.00038068349908650676,2025-05-02 03:48:47.896089,2025-05-02 04:07:15.430604,0 days 00:18:27.534515,64,0.2,64,2,128,1e-05,17,COMPLETE
23,0.0004043736280872911,2025-05-02 04:07:15.432328,2025-05-02 04:30:01.588104,0 days 00:22:46.155776,64,0.1,128,2,144,1e-05,15,COMPLETE
24,0.000573294373129056,2025-05-02 04:30:01.590282,2025-05-02 04:54:02.078237,0 days 00:24:00.487955,64,0.30000000000000004,128,3,121,1e-05,9,COMPLETE
25,0.00042565092670097634,2025-05-02 04:54:02.095598,2025-05-02 05:41:25.204875,0 days 00:47:23.109277,64,0.2,64,2,102,1e-05,16,COMPLETE
26,0.0003130242343453545,2025-05-02 05:41:25.206574,2025-05-02 06:08:14.196198,0 days 00:26:48.989624,64,0.30000000000000004,32,3,136,1e-06,33,COMPLETE
27,0.0005041327119064903,2025-05-02 06:08:14.198285,2025-05-02 06:31:17.035176,0 days 00:23:02.836891,64,0.1,256,2,78,0.0001,9,COMPLETE
28,0.0006151775837285742,2025-05-02 06:31:17.038718,2025-05-02 07:08:35.931292,0 days 00:37:18.892574,16,0.2,128,4,117,0.0,7,COMPLETE
29,0.00040267074133331623,2025-05-02 07:08:35.933046,2025-05-02 07:43:55.322033,0 days 00:35:19.388987,32,0.0,32,2,68,0.0,27,COMPLETE
30,0.00033584605651989954,2025-05-02 07:43:55.323901,2025-05-02 10:04:04.272796,0 days 02:20:08.948895,16,0.30000000000000004,64,2,92,1e-05,38,COMPLETE
31,0.0006254374505103273,2025-05-02 10:04:04.274595,2025-05-02 10:37:56.901955,0 days 00:33:52.627360,64,0.4,32,3,135,1e-06,30,COMPLETE
32,0.0002735882340760645,2025-05-02 10:37:56.907471,2025-05-02 11:17:37.998111,0 days 00:39:41.090640,64,0.30000000000000004,32,3,134,1e-06,40,COMPLETE
33,0.0007438907365271899,2025-05-02 11:17:38.000406,2025-05-02 11:41:51.489247,0 days 00:24:13.488841,64,0.5,32,2,109,1e-06,26,COMPLETE
34,0.0002333354428569145,2025-05-02 11:41:51.492212,2025-05-02 12:51:16.410106,0 days 01:09:24.917894,64,0.2,32,3,124,1e-06,53,COMPLETE
35,0.0003390751611854748,2025-05-02 12:51:16.415783,2025-05-02 13:35:07.695738,0 days 00:43:51.279955,64,0.30000000000000004,32,3,123,1e-06,50,COMPLETE
36,0.0003941570044811736,2025-05-02 13:35:07.709687,2025-05-02 14:06:31.968099,0 days 00:31:24.258412,64,0.4,32,4,113,1e-06,28,COMPLETE
37,0.0004312301494573059,2025-05-02 14:06:31.969920,2025-05-02 16:10:38.946185,0 days 02:04:06.976265,16,0.5,32,3,103,1e-06,30,COMPLETE
38,0.00041450919727617047,2025-05-02 16:10:38.948182,2025-05-02 16:41:24.986746,0 days 00:30:46.038564,64,0.30000000000000004,32,5,133,1e-06,16,COMPLETE
39,0.0008044530857230286,2025-05-02 16:41:24.988326,2025-05-02 17:16:46.279738,0 days 00:35:21.291412,64,0.1,32,4,26,0.0001,29,COMPLETE
40,0.0005463920220922069,2025-05-02 17:16:46.282740,2025-05-02 17:35:00.218205,0 days 00:18:13.935465,32,0.2,128,3,87,1e-06,5,COMPLETE
41,0.00045741030835144545,2025-05-02 17:35:00.220185,2025-05-02 18:19:32.996129,0 days 00:44:32.775944,64,0.2,256,3,135,1e-06,4,COMPLETE
42,0.0002836880835970882,2025-05-02 18:19:33.003189,2025-05-02 18:43:12.664562,0 days 00:23:39.661373,64,0.2,32,2,124,0.0001,33,COMPLETE
43,0.00041375045478260085,2025-05-02 18:43:12.666409,2025-05-02 19:12:40.376347,0 days 00:29:27.709938,64,0.2,32,3,125,0.0001,25,COMPLETE
44,0.0007227371587952205,2025-05-02 19:12:40.378673,2025-05-02 19:22:42.279264,0 days 00:10:01.900591,64,0.30000000000000004,32,2,116,0.0001,9,COMPLETE
45,0.0005944327878389656,2025-05-02 19:22:42.280868,2025-05-02 19:46:15.295641,0 days 00:23:33.014773,64,0.1,32,4,108,0.0001,12,COMPLETE
46,0.0002836880835970882,2025-05-02 19:46:15.305693,2025-05-02 20:33:43.901633,0 days 00:47:28.595940,64,0.2,32,2,124,0.0001,33,COMPLETE
