number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_SEQUENCE_LENGTH,params_WEIGHT_DECAY,user_attrs_best_epoch,state
0,0.0004921451823273633,2025-04-14 14:06:00.179499,2025-04-14 14:50:27.087911,0 days 00:44:26.908412,32,0.0,32,0.001,2,432,0.0001,4,COMPLETE
1,0.00041851722986020203,2025-04-14 14:50:27.095581,2025-04-14 15:12:16.217478,0 days 00:21:49.121897,64,0.30000000000000004,64,0.001,3,288,1e-05,6,COMPLETE
2,0.000443400106540969,2025-04-14 15:12:16.221858,2025-04-14 18:39:38.674903,0 days 03:27:22.453045,64,0.4,128,0.0001,5,720,0.0,8,COMPLETE
3,0.0004174823261627111,2025-04-14 18:39:38.678062,2025-04-14 19:52:29.364258,0 days 01:12:50.686196,128,0.5,128,0.001,2,720,1e-05,9,COMPLETE
4,0.0004379630752468309,2025-04-14 19:52:29.366081,2025-04-14 20:18:34.897640,0 days 00:26:05.531559,64,0.30000000000000004,64,0.001,3,432,1e-06,6,COMPLETE
5,0.00035147931857367463,2025-04-14 20:18:34.899660,2025-04-14 21:09:24.378873,0 days 00:50:49.479213,64,0.5,32,0.0001,2,864,0.0001,28,COMPLETE
6,0.0005401860612293396,2025-04-14 21:09:24.381173,2025-04-14 21:22:48.512048,0 days 00:13:24.130875,128,0.2,64,0.0001,5,144,0.0001,6,COMPLETE
7,0.0004121195589644445,2025-04-14 21:22:48.513965,2025-04-14 21:43:50.484871,0 days 00:21:01.970906,64,0.1,64,0.001,2,288,1e-05,5,COMPLETE
8,0.00040204989975536914,2025-04-14 21:43:50.487544,2025-04-14 22:03:36.617967,0 days 00:19:46.130423,128,0.2,32,0.001,2,864,1e-06,12,COMPLETE
9,0.0004286006878909657,2025-04-14 22:03:36.620274,2025-04-14 23:04:15.504828,0 days 01:00:38.884554,32,0.5,64,0.001,5,432,0.0001,3,COMPLETE
10,0.0005666399833978288,2025-04-14 23:04:15.506900,2025-04-14 23:50:32.678123,0 days 00:46:17.171223,64,0.4,32,0.0001,4,1008,0.0,10,COMPLETE
11,0.00040789458921126236,2025-04-14 23:50:32.679855,2025-04-15 00:21:08.189719,0 days 00:30:35.509864,128,0.2,32,0.0001,3,1008,1e-06,15,COMPLETE
12,0.0004349805561255438,2025-04-15 00:21:08.196018,2025-04-15 00:46:10.761347,0 days 00:25:02.565329,128,0.1,32,0.0001,2,864,1e-06,5,COMPLETE
13,0.0005302792822162747,2025-04-15 00:46:10.769738,2025-04-15 01:07:18.470144,0 days 00:21:07.700406,128,0.4,32,0.0001,4,720,0.0001,5,COMPLETE
14,0.0004943294741139225,2025-04-15 01:07:18.471832,2025-04-15 01:53:35.090548,0 days 00:46:16.618716,32,0.1,32,0.001,3,864,1e-06,3,COMPLETE
15,0.00041331204831774156,2025-04-15 01:53:35.096058,2025-04-15 02:30:32.702479,0 days 00:36:57.606421,64,0.30000000000000004,32,0.0001,2,864,0.0001,12,COMPLETE
16,0.00041235435843337394,2025-04-15 02:30:32.704039,2025-04-15 03:23:32.520657,0 days 00:52:59.816618,128,0.2,128,0.001,2,576,1e-06,7,COMPLETE
17,0.0004684211661120764,2025-04-15 03:23:32.522995,2025-04-15 03:51:57.789320,0 days 00:28:25.266325,64,0.0,32,0.0001,4,1008,0.0,1,COMPLETE
18,0.00041749094694834056,2025-04-15 03:51:57.791120,2025-04-15 04:10:46.769823,0 days 00:18:48.978703,128,0.5,32,0.0001,3,576,1e-06,16,COMPLETE
19,0.00041291391306062016,2025-04-15 04:10:46.772774,2025-04-15 04:56:12.035160,0 days 00:45:25.262386,32,0.4,32,0.001,2,864,0.0001,3,COMPLETE
20,0.00041857491956631546,2025-04-15 04:56:12.037088,2025-04-15 06:37:44.319215,0 days 01:41:32.282127,128,0.30000000000000004,128,0.0001,3,720,1e-06,8,COMPLETE
21,0.00040789458921126236,2025-04-15 06:37:44.328287,2025-04-15 07:10:24.157540,0 days 00:32:39.829253,128,0.2,32,0.0001,3,1008,1e-06,15,COMPLETE
22,0.0004131344374005379,2025-04-15 07:10:24.159806,2025-04-15 07:35:04.446613,0 days 00:24:40.286807,128,0.2,32,0.0001,2,1008,1e-06,14,COMPLETE
23,0.0004440458517508024,2025-04-15 07:35:04.449044,2025-04-15 07:57:34.901826,0 days 00:22:30.452782,128,0.1,32,0.0001,3,864,1e-06,11,COMPLETE
