number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_SEQUENCE_LENGTH,params_WEIGHT_DECAY,user_attrs_best_epoch,state
0,0.0004921451823273633,2025-04-07 14:01:20.255439,2025-04-07 14:48:21.568238,0 days 00:47:01.312799,32,0.0,32,0.001,2,432,0.0001,4,COMPLETE
1,0.00041851722986020203,2025-04-07 14:48:21.575401,2025-04-07 15:12:27.971039,0 days 00:24:06.395638,64,0.30000000000000004,64,0.001,3,288,1e-05,6,COMPLETE
2,0.000443400106540969,2025-04-07 15:12:27.975280,2025-04-07 18:38:40.816348,0 days 03:26:12.841068,64,0.4,128,0.0001,5,720,0.0,8,COMPLETE
3,0.0004174823261627111,2025-04-07 18:38:40.831551,2025-04-07 19:55:24.820249,0 days 01:16:43.988698,128,0.5,128,0.001,2,720,1e-05,9,COMPLETE
4,0.0004379630752468309,2025-04-07 19:55:24.822114,2025-04-07 20:34:47.702201,0 days 00:39:22.880087,64,0.30000000000000004,64,0.001,3,432,1e-06,6,COMPLETE
5,0.00035147931857367463,2025-04-07 20:34:47.703932,2025-04-07 21:21:14.546162,0 days 00:46:26.842230,64,0.5,32,0.0001,2,864,0.0001,28,COMPLETE
6,0.0005401860612293396,2025-04-07 21:21:14.553750,2025-04-07 21:38:39.311766,0 days 00:17:24.758016,128,0.2,64,0.0001,5,144,0.0001,6,COMPLETE
7,0.0004121195589644445,2025-04-07 21:38:39.313616,2025-04-07 21:56:11.068288,0 days 00:17:31.754672,64,0.1,64,0.001,2,288,1e-05,5,COMPLETE
8,0.00040204989975536914,2025-04-07 21:56:11.070431,2025-04-07 22:13:56.965303,0 days 00:17:45.894872,128,0.2,32,0.001,2,864,1e-06,12,COMPLETE
9,0.0004286006878909657,2025-04-07 22:13:56.973245,2025-04-07 23:17:47.057252,0 days 01:03:50.084007,32,0.5,64,0.001,5,432,0.0001,3,COMPLETE
