number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_seq_length,params_weight_decay,state
0,0.000866832671841371,2025-05-13 16:36:39.065250,2025-05-13 17:02:46.481982,0 days 00:26:07.416732,64,0.4,64,4,432,1e-05,COMPLETE
1,0.002010484702294287,2025-05-13 17:02:46.483881,2025-05-13 17:44:21.711138,0 days 00:41:35.227257,128,0.4,64,5,720,1e-05,COMPLETE
2,0.0005705471253131753,2025-05-13 17:44:21.713393,2025-05-13 18:31:06.484881,0 days 00:46:44.771488,32,0.3,32,3,288,0.0,COMPLETE
3,0.00046983033118466885,2025-05-13 18:31:06.486635,2025-05-13 18:43:13.816327,0 days 00:12:07.329692,64,0.0,64,3,144,0.0,COMPLETE
4,0.0012756691901974458,2025-05-13 18:43:13.817873,2025-05-14 01:55:32.908879,0 days 07:12:19.091006,16,0.0,256,2,864,0.0001,COMPLETE
5,0.0010408445876051741,2025-05-14 01:55:32.911090,2025-05-14 02:12:21.019050,0 days 00:16:48.107960,128,0.1,64,2,576,1e-05,COMPLETE
6,0.0005101119094937807,2025-05-14 02:12:21.021142,2025-05-14 05:20:52.229297,0 days 03:08:31.208155,128,0.0,128,4,1008,0.0,COMPLETE
7,0.0007078665835886316,2025-05-14 05:20:52.230986,2025-05-14 05:48:53.135532,0 days 00:28:00.904546,64,0.0,64,5,432,0.0,COMPLETE
8,0.0003852868448858851,2025-05-14 05:48:53.137436,2025-05-14 06:55:41.742932,0 days 01:06:48.605496,32,0.3,64,2,720,1e-06,COMPLETE
9,0.0007232185085836426,2025-05-14 06:55:41.745064,2025-05-14 08:59:42.183266,0 days 02:04:00.438202,64,0.5,256,4,144,1e-06,COMPLETE
10,0.0004251535639858846,2025-05-14 08:59:42.185418,2025-05-14 11:06:27.087419,0 days 02:06:44.902001,32,0.3,128,2,720,1e-06,COMPLETE
11,0.0001271138732864591,2025-05-14 11:06:27.089214,2025-05-14 14:41:35.828486,0 days 03:35:08.739272,32,0.3,128,2,720,1e-06,COMPLETE
