number,value,datetime_start,datetime_complete,duration,params_ewc_lambda_update1,params_ewc_lambda_update2,state
0,0.0031879493277969803,2025-05-22 09:37:22.928643,2025-05-22 12:22:30.937036,0 days 02:45:08.008393,300,100,COMPLETE
1,0.002850989455208755,2025-05-22 12:22:30.942718,2025-05-22 14:37:29.550717,0 days 02:14:58.607999,300,3000,COMPLETE
2,0.003179380993809965,2025-05-22 14:37:29.554876,2025-05-22 16:22:30.434982,0 days 01:45:00.880106,1000,100,COMPLETE
3,0.010240348168618317,2025-05-22 16:22:30.436555,2025-05-22 17:52:13.830284,0 days 01:29:43.393729,100,3000,COMPLETE
4,0.0037878157975306343,2025-05-22 17:52:13.867347,2025-05-22 19:54:00.630306,0 days 02:01:46.762959,10000,300,COMPLETE
5,0.0034043324926649435,2025-05-22 19:54:00.631990,2025-05-22 21:40:17.633686,0 days 01:46:17.001696,300,3000,COMPLETE
6,0.0037997130261291532,2025-05-22 21:40:17.636152,2025-05-22 23:52:28.003538,0 days 02:12:10.367386,10000,1000,COMPLETE
7,0.0014648873495264302,2025-05-22 23:52:28.005939,2025-05-23 03:24:59.772355,0 days 03:32:31.766416,10000,300,COMPLETE
8,0.002167988666651206,2025-05-23 03:24:59.775386,2025-05-23 05:00:51.579201,0 days 01:35:51.803815,100,3000,COMPLETE
9,0.0031487648931173133,2025-05-23 05:00:51.580786,2025-05-23 06:34:08.112346,0 days 01:33:16.531560,300,300,COMPLETE
10,0.003299056341782994,2025-05-23 06:34:08.114086,2025-05-23 08:40:02.550578,0 days 02:05:54.436492,3000,10000,COMPLETE
11,0.003706384446482831,2025-05-23 08:40:02.553075,2025-05-23 11:11:40.352585,0 days 02:31:37.799510,100,300,COMPLETE
12,0.0016121768839042826,2025-05-23 11:11:40.354182,2025-05-23 13:16:25.429660,0 days 02:04:45.075478,10000,1000,COMPLETE
13,0.0030293150548018647,2025-05-23 13:16:25.437853,2025-05-23 15:36:19.640407,0 days 02:19:54.202554,10000,1000,COMPLETE
14,0.012740704838533214,2025-05-23 15:36:19.641742,2025-05-23 17:22:40.289048,0 days 01:46:20.647306,10000,1000,COMPLETE
15,0.009553582724457554,2025-05-23 17:22:40.294426,2025-05-23 19:28:52.423899,0 days 02:06:12.129473,10000,10000,COMPLETE
16,0.001786496397636682,2025-05-23 19:28:52.432380,2025-05-23 21:22:06.319442,0 days 01:53:13.887062,1000,1000,COMPLETE
17,0.0026916835375837703,2025-05-23 21:22:06.321002,2025-05-23 23:06:38.374334,0 days 01:44:32.053332,3000,300,COMPLETE
18,0.006467966761022417,2025-05-23 23:06:38.375769,2025-05-24 01:05:39.846924,0 days 01:59:01.471155,10000,1000,COMPLETE
19,0.0018601203525601892,2025-05-24 01:05:39.853221,2025-05-24 03:27:30.912001,0 days 02:21:51.058780,10000,300,COMPLETE
20,0.003438366909841634,2025-05-24 03:27:30.916748,2025-05-24 06:07:47.761203,0 days 02:40:16.844455,10000,100,COMPLETE
21,0.002593801926822049,2025-05-24 06:07:47.762973,2025-05-24 08:50:10.318880,0 days 02:42:22.555907,1000,1000,COMPLETE
22,0.002864317625219644,2025-05-24 08:50:10.322963,2025-05-24 11:01:08.503853,0 days 02:10:58.180890,1000,1000,COMPLETE
23,0.002511951715571777,2025-05-24 11:01:08.505428,2025-05-24 12:46:32.877956,0 days 01:45:24.372528,1000,1000,COMPLETE
24,0.004145467783724773,2025-05-24 12:46:32.879415,2025-05-24 15:04:08.169325,0 days 02:17:35.289910,1000,1000,COMPLETE
25,0.0021560849858515228,2025-05-24 15:04:08.170937,2025-05-24 16:51:47.537120,0 days 01:47:39.366183,3000,10000,COMPLETE
26,0.0013242619166067943,2025-05-24 16:51:47.538948,2025-05-24 18:38:17.035517,0 days 01:46:29.496569,1000,300,COMPLETE
27,0.003461864593075567,2025-05-24 18:38:17.038311,2025-05-24 20:35:08.853588,0 days 01:56:51.815277,10000,300,COMPLETE
28,0.0036276352825013246,2025-05-24 20:35:08.855477,2025-05-24 22:12:56.806832,0 days 01:37:47.951355,10000,300,COMPLETE
29,0.002280369880687394,2025-05-24 22:12:56.808355,2025-05-25 00:08:05.879521,0 days 01:55:09.071166,1000,300,COMPLETE
30,0.012884895339250944,2025-05-25 00:08:05.881430,2025-05-25 01:49:13.359645,0 days 01:41:07.478215,3000,100,COMPLETE
31,0.0040779871010692735,2025-05-25 01:49:13.361227,2025-05-25 04:12:31.614551,0 days 02:23:18.253324,1000,1000,COMPLETE
32,0.0021248353260078265,2025-05-25 04:12:31.620107,2025-05-25 06:10:57.005974,0 days 01:58:25.385867,1000,300,COMPLETE
33,0.009008191109147357,2025-05-25 06:10:57.009675,2025-05-25 08:18:17.789785,0 days 02:07:20.780110,1000,1000,COMPLETE
34,0.003661426814702502,2025-05-25 08:18:17.791343,2025-05-25 10:13:00.898710,0 days 01:54:43.107367,300,100,COMPLETE
35,0.0024755835499832967,2025-05-25 10:13:00.903229,2025-05-25 12:06:15.454646,0 days 01:53:14.551417,1000,300,COMPLETE
36,0.00258202942491544,2025-05-25 12:06:15.457226,2025-05-25 14:04:51.237106,0 days 01:58:35.779880,100,3000,COMPLETE
37,0.0022076349891735603,2025-05-25 14:04:51.238865,2025-05-25 16:05:08.931556,0 days 02:00:17.692691,1000,300,COMPLETE
38,0.003632495515009312,2025-05-25 16:05:08.936209,2025-05-25 17:58:38.674978,0 days 01:53:29.738769,10000,1000,COMPLETE
39,0.003987400234172714,2025-05-25 17:58:38.676768,2025-05-25 19:49:28.138285,0 days 01:50:49.461517,300,3000,COMPLETE
40,0.0021950332406099164,2025-05-25 19:49:28.139948,2025-05-25 21:28:17.407507,0 days 01:38:49.267559,100,10000,COMPLETE
41,0.0033080127820442583,2025-05-25 21:28:17.409564,2025-05-25 23:07:23.475272,0 days 01:39:06.065708,10000,300,COMPLETE
42,0.0031226453083070876,2025-05-25 23:07:23.477154,2025-05-26 00:45:07.345516,0 days 01:37:43.868362,10000,300,COMPLETE
43,0.0023691215271944384,2025-05-26 00:45:07.346939,2025-05-26 02:20:02.140733,0 days 01:34:54.793794,10000,300,COMPLETE
44,0.00459117693779321,2025-05-26 02:20:02.142369,2025-05-26 04:08:00.117074,0 days 01:47:57.974705,10000,300,COMPLETE
45,0.0027337920465112598,2025-05-26 04:08:00.119580,2025-05-26 06:01:58.269198,0 days 01:53:58.149618,10000,300,COMPLETE
46,0.007814193060239519,2025-05-26 06:01:58.270934,2025-05-26 07:59:11.979953,0 days 01:57:13.709019,300,1000,COMPLETE
47,0.005081573472059477,2025-05-26 07:59:11.981629,2025-05-26 09:50:08.797474,0 days 01:50:56.815845,10000,300,COMPLETE
48,0.002594167202081017,2025-05-26 09:50:08.798905,2025-05-26 11:54:27.161423,0 days 02:04:18.362518,10000,3000,COMPLETE
49,0.0015774994349523383,2025-05-26 11:54:27.163359,2025-05-26 13:57:23.046436,0 days 02:02:55.883077,100,100,COMPLETE
