number,value,datetime_start,datetime_complete,duration,params_factor,params_lr,params_smooth_alpha,state
0,0.014588575830592589,2025-07-25 17:02:59.214182,2025-07-25 18:48:03.329288,0 days 01:45:04.115106,0.5056777714501693,0.00023112409615498334,0.030963161855302845,COMPLETE
1,0.007501479374161052,2025-07-25 18:48:08.037463,2025-07-25 20:58:33.967542,0 days 02:10:25.930079,0.28512048983229865,0.00018878471122676149,0.13719657347829523,COMPLETE
2,0.0071575528342856755,2025-07-25 20:58:33.995516,2025-07-26 00:04:06.417231,0 days 03:05:32.421715,0.5678794289414575,0.0004001958673884788,0.17976459146236273,COMPLETE
3,0.010559028597367985,2025-07-26 00:04:06.451246,2025-07-26 02:13:58.990606,0 days 02:09:52.539360,0.10946298297373405,0.00013178125197986222,0.14168785569500614,COMPLETE
4,0.011693294831717266,2025-07-26 02:13:59.158433,2025-07-26 05:04:40.779047,0 days 02:50:41.620614,0.23387144197559354,6.714655639957917e-05,0.161110907597458,COMPLETE
5,0.02527795967543502,2025-07-26 05:04:40.861928,2025-07-26 05:17:10.550383,0 days 00:12:29.688455,0.24187721553242822,5.6924610874545656e-05,0.07868267955943327,PRUNED
6,0.026895664546342145,2025-07-26 05:17:10.590717,2025-07-26 05:26:50.345992,0 days 00:09:39.755275,0.46322412098828025,4.856411325616873e-05,0.15478388589303826,PRUNED
7,0.03979473068932757,2025-07-26 05:26:50.365642,2025-07-26 05:30:00.093731,0 days 00:03:09.728089,0.27143946736853525,1.78593357642568e-05,0.02401476428806454,PRUNED
8,0.008332969146212668,2025-07-26 05:30:00.108588,2025-07-26 07:43:31.559214,0 days 02:13:31.450626,0.2989773725081257,0.00021214039984578548,0.1420643105095798,COMPLETE
9,0.04399652751005153,2025-07-26 07:43:31.628704,2025-07-26 07:59:47.303982,0 days 00:16:15.675278,0.6327853371899281,0.0004719896328757808,0.24924610707689066,PRUNED
10,0.03747468545422696,2025-07-26 07:59:47.411200,2025-07-26 08:05:38.649209,0 days 00:05:51.238009,0.8859524447630799,0.0009723117064020341,0.29001647731602254,PRUNED
11,0.028746679416230592,2025-07-26 08:05:38.773369,2025-07-26 08:16:30.790676,0 days 00:10:52.017307,0.6323398327755687,0.0005802240008606091,0.20913959663812437,PRUNED
12,0.02188789438845569,2025-07-26 08:16:30.860073,2025-07-26 08:39:09.360278,0 days 00:22:38.500205,0.44324128974461163,0.0002946214728457749,0.10178132418101021,PRUNED
13,0.029065242331989316,2025-07-26 08:39:09.395418,2025-07-26 08:48:42.956680,0 days 00:09:33.561262,0.7269232328664823,0.0001296214714282871,0.20305560949578144,PRUNED
14,0.02178572831903588,2025-07-26 08:48:42.974457,2025-07-26 09:14:26.415415,0 days 00:25:43.440958,0.38190694854718654,0.00038847057885399065,0.09592261567760031,PRUNED
15,0.02231838508483348,2025-07-26 09:14:26.421503,2025-07-26 09:59:59.684842,0 days 00:45:33.263339,0.12126081389461821,0.0007945811899504599,0.20281071173767257,PRUNED
16,0.04206635172239076,2025-07-26 09:59:59.851851,2025-07-26 10:05:43.465967,0 days 00:05:43.614116,0.6369801045698736,2.739572638892819e-05,0.2459533253459809,PRUNED
17,0.01471937847963174,2025-07-26 10:05:43.576287,2025-07-26 10:50:41.813300,0 days 00:44:58.237013,0.5437120075929206,0.00017069335931079878,0.06948424821394053,PRUNED
18,0.025968778848755234,2025-07-26 10:50:41.859134,2025-07-26 11:06:58.690464,0 days 00:16:16.831330,0.7795510680609069,9.429627890651277e-05,0.1820231738227617,PRUNED
19,0.031225880714370224,2025-07-26 11:06:58.799087,2025-07-26 11:23:07.891209,0 days 00:16:09.092122,0.3873124678147495,0.0003247893764833965,0.12350713599422197,PRUNED
20,0.036788303439015325,2025-07-26 11:23:07.912708,2025-07-26 11:26:12.613174,0 days 00:03:04.700466,0.5618178597798372,1.0773017921268224e-05,0.23708288413231932,PRUNED
21,0.01683212579018472,2025-07-26 11:26:12.623907,2025-07-26 11:54:36.248075,0 days 00:28:23.624168,0.31876230781736886,0.0001846181816207661,0.12651073443136285,PRUNED
22,0.014859914117208392,2025-07-26 11:54:36.284706,2025-07-26 12:19:58.422718,0 days 00:25:22.138012,0.20008241051717085,0.00022593523068542651,0.1675350678639042,PRUNED
23,0.018490061970726702,2025-07-26 12:19:58.450770,2025-07-26 12:51:22.786323,0 days 00:31:24.335553,0.344997508798067,0.0005436051715212894,0.12210032114351872,PRUNED
24,0.03579153702559334,2025-07-26 12:51:22.816448,2025-07-26 12:56:06.801423,0 days 00:04:43.984975,0.17890670934357136,0.00010963371037899174,0.18256435800586224,PRUNED
25,0.02161923151683623,2025-07-26 12:56:06.911591,2025-07-26 13:42:19.834997,0 days 00:46:12.923406,0.2979827647530724,0.0002851719160931931,0.054566721385827785,PRUNED
26,0.041665707487371695,2025-07-26 13:42:19.955361,2025-07-26 13:47:58.292036,0 days 00:05:38.336675,0.4291432637408247,0.0006900319672057721,0.1403255952943449,PRUNED
