epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
0,0.011965784448551845,0.001087058141120145,0.0001,272.304541349411,0.011965784448551845,0.0,0.0
1,0.003575322028224488,0.0009895748710933663,0.0001,280.09713196754456,0.003575322028224488,0.0,0.0
2,0.002313161667836424,0.0006518398291707647,0.0001,286.3950746059418,0.002313161667836424,0.0,0.0
3,0.0013190631220591571,0.0003772234917691763,0.0001,285.2269768714905,0.0013190631220591571,0.0,0.0
4,0.0007514043260729148,0.00022154823476961807,0.0001,333.2145049571991,0.0007514043260729148,0.0,0.0
5,0.0004903430421107587,0.0003694810852289338,0.0001,378.3134958744049,0.0004903430421107587,0.0,0.0
6,0.0003300868172501835,0.0002285400845740208,0.0001,360.7819254398346,0.0003300868172501835,0.0,0.0
7,0.00022113033267223087,0.0002719624746103261,0.0001,420.1443381309509,0.00022113033267223087,0.0,0.0
8,0.00017134677019000615,0.0003158497826264864,0.0001,352.7074635028839,0.00017134677019000615,0.0,0.0
9,0.0001618966990049364,0.0002055475337891432,0.0001,389.30895733833313,0.0001618966990049364,0.0,0.0
10,0.00013917050064466053,0.0002607477200794745,0.0001,218.19500637054443,0.00013917050064466053,0.0,0.0
11,0.00011409956858681716,0.0001326403319853403,0.0001,224.84304761886597,0.00011409956858681716,0.0,0.0
12,9.78525230511103e-05,0.0003697217829104041,0.0001,222.83044242858887,9.78525230511103e-05,0.0,0.0
13,8.460435708060229e-05,0.00037038125929744206,0.0001,222.89672255516052,8.460435708060229e-05,0.0,0.0
14,8.289189529477037e-05,0.0003578348030100874,0.0001,214.120356798172,8.289189529477037e-05,0.0,0.0
15,7.621727971809533e-05,0.00042162487819693867,0.0001,224.38577675819397,7.621727971809533e-05,0.0,0.0
16,7.250141756548791e-05,0.00033672395249802493,0.0001,225.92736148834229,7.250141756548791e-05,0.0,0.0
17,7.014109809011538e-05,0.00038355959696022166,5e-05,229.2166986465454,7.014109809011538e-05,0.0,0.0
18,6.003513146902714e-05,0.00034454151350397395,5e-05,237.09638738632202,6.003513146902714e-05,0.0,0.0
19,5.774639616562222e-05,0.00036636510873926803,5e-05,236.88552355766296,5.774639616562222e-05,0.0,0.0
20,5.7304053945114006e-05,0.0003944323663171503,5e-05,238.29436945915222,5.7304053945114006e-05,0.0,0.0
21,5.6939481755436126e-05,0.0003359602627628044,5e-05,219.10251426696777,5.6939481755436126e-05,0.0,0.0
22,5.535142639493188e-05,0.00034575556472826393,5e-05,230.65271949768066,5.535142639493188e-05,0.0,0.0
23,5.495579459366959e-05,0.00035772473971072894,2.5e-05,212.3361053466797,5.495579459366959e-05,0.0,0.0
24,5.039643532509447e-05,0.0003861693398823683,2.5e-05,220.98647618293762,5.039643532509447e-05,0.0,0.0
25,5.00889993890963e-05,0.0003648209914111367,2.5e-05,216.06947994232178,5.00889993890963e-05,0.0,0.0
26,4.982202738238301e-05,0.00037441851855216546,2.5e-05,218.14361000061035,4.982202738238301e-05,0.0,0.0
27,4.9721206887860915e-05,0.00036644885207116494,2.5e-05,239.7274420261383,4.9721206887860915e-05,0.0,0.0
28,4.913125770430455e-05,0.00039299710581881965,2.5e-05,222.28520607948303,4.913125770430455e-05,0.0,0.0
29,4.882669343422776e-05,0.00036970354033871055,1.25e-05,205.76727843284607,4.882669343422776e-05,0.0,0.0
30,4.6989036307860615e-05,0.0004095567966969291,1.25e-05,215.867755651474,4.6989036307860615e-05,0.0,0.0
31,4.662134397124676e-05,0.0003634073015029476,1.25e-05,212.78491067886353,4.662134397124676e-05,0.0,0.0
