trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full,0,-1,0.073445186,0.07338751098878113,0.09180154,0.09171331294099469,-0.19045448303222656,-0.18816742049122026,-0.07344518601894379
task0,task0,0,0,0.046181146,0.04609372817606622,0.05303924,0.052968451322757036,-3.469456195831299,-3.4575336230415754,-0.046181146055459976
task0,task1,0,1,0.05212137,0.052117517540014376,0.061594557,0.06154775342388935,-4.86492919921875,-4.8560194238852725,-0.052121371030807495
task0,task2,0,2,0.15861283,0.1585021391456563,0.16168071,0.16151761215997887,-81.3250961303711,-81.15907874219049,-0.15861283242702484
task1,full,1,-1,0.058947854,0.05887376523330732,0.07443095,0.07429680714654732,0.2174358367919922,0.2202539599484994,-0.05894785374403
task1,task0,1,0,0.023868093,0.023806137768081277,0.028250944,0.028146831957697648,-0.2680196762084961,-0.2586909732646725,-0.023868093267083168
task1,task1,1,1,0.06831092,0.06816572354388967,0.07219241,0.07202856918716001,-7.0567731857299805,-7.020245712208089,-0.06831091642379761
task1,task2,1,2,0.12712191,0.12728630708271585,0.13013822,0.13003129279543124,-52.336631774902344,-52.24901157825197,-0.1271219104528427
task2,full,2,-1,0.05137333,0.050973400613564895,0.070882976,0.07035047977590991,0.2902641296386719,0.3008876023709932,-0.051373329013586044
task2,task0,2,0,0.04840715,0.04783115447888911,0.07846403,0.07790850789300971,-8.781405448913574,-8.643392658274779,-0.04840714856982231
task2,task1,2,1,0.05265375,0.05255144233090514,0.058449987,0.057846936107537314,-4.281374454498291,-4.172956431754112,-0.05265374854207039
task2,task2,2,2,0.060487367,0.06016332831420389,0.0718054,0.07140337080093377,-15.237905502319336,-15.0565863287765,-0.06048736721277237
