trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full,0,-1,0.073445186,0.07338751098878113,0.09180154,0.09171331294099469,-0.19045448303222656,-0.18816742049122026,-0.07344518601894379
task0,task0,0,0,0.046181146,0.04609372817606622,0.05303924,0.052968451322757036,-3.469456195831299,-3.4575336230415754,-0.046181146055459976
task0,task1,0,1,0.05212137,0.052117517540014376,0.061594557,0.06154775342388935,-4.86492919921875,-4.8560194238852725,-0.052121371030807495
task0,task2,0,2,0.15861283,0.1585021391456563,0.16168071,0.16151761215997887,-81.3250961303711,-81.15907874219049,-0.15861283242702484
task1,full,1,-1,0.062120177,0.06209316600390037,0.08072006,0.08069118338499305,0.07960164546966553,0.08026006066617775,-0.06212017685174942
task1,task0,1,0,0.023073122,0.022985016650197237,0.02769598,0.02757710002890166,-0.2186908721923828,-0.20825128552285843,-0.023073121905326843
task1,task1,1,1,0.060129475,0.06016375698981233,0.06342791,0.06341585990577625,-5.219263553619385,-5.216899827515507,-0.060129474848508835
task1,task2,1,2,0.14853305,0.14853801412251685,0.14923538,0.14921913697675374,-69.13896942138672,-69.12370234831448,-0.14853304624557495
task2,full,2,-1,0.024947118,0.02476489621234005,0.031479746,0.031240439901631237,0.8600170016288757,0.8621371800028939,-0.024947118014097214
task2,task0,2,0,0.038103335,0.0380117493451959,0.041834004,0.0416851819744587,-1.7804749011993408,-1.7607271133056233,-0.03810333460569382
task2,task1,2,1,0.016078824,0.015837371907636365,0.021830799,0.021344400346578505,0.26325464248657227,0.2957189314975277,-0.016078824177384377
task2,task2,2,2,0.009851856,0.009612149612016464,0.01185479,0.011354639598370601,0.5574079751968384,0.5939659098083139,-0.009851856157183647
