[Trial 0] val_loss=0.002412, params={'sequence_length': 498, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 1] val_loss=0.002355, params={'sequence_length': 48, 'hidden_size': 32, 'num_layers': 3, 'batch_size': 128, 'dropout': 0.5, 'weight_decay': 0.0}
[Trial 2] val_loss=0.002429, params={'sequence_length': 624, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 1e-06}
[Trial 3] val_loss=0.003032, params={'sequence_length': 414, 'hidden_size': 256, 'num_layers': 3, 'batch_size': 64, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 4] val_loss=0.004348, params={'sequence_length': 990, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 1e-05}
[Trial 5] val_loss=0.003773, params={'sequence_length': 672, 'hidden_size': 256, 'num_layers': 5, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 1e-05}
[Trial 6] val_loss=0.001845, params={'sequence_length': 192, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.1, 'weight_decay': 0.0001}
[Trial 7] val_loss=0.001082, params={'sequence_length': 912, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 8] val_loss=0.001866, params={'sequence_length': 228, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.3, 'weight_decay': 0.0}
[Trial 9] val_loss=0.002383, params={'sequence_length': 360, 'hidden_size': 256, 'num_layers': 3, 'batch_size': 32, 'dropout': 0.5, 'weight_decay': 0.0001}
[Trial 10] val_loss=0.003412, params={'sequence_length': 894, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 16, 'dropout': 0.4, 'weight_decay': 1e-06}
[Trial 11] val_loss=0.002155, params={'sequence_length': 12, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 12] val_loss=0.001203, params={'sequence_length': 756, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 13] val_loss=0.001272, params={'sequence_length': 792, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 14] val_loss=0.001511, params={'sequence_length': 780, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 15] val_loss=0.001363, params={'sequence_length': 954, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 16] val_loss=0.003228, params={'sequence_length': 834, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0}
[Trial 17] val_loss=0.001594, params={'sequence_length': 678, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.3, 'weight_decay': 1e-05}
[Trial 18] val_loss=0.002052, params={'sequence_length': 576, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 1e-06}
[Trial 19] val_loss=0.001489, params={'sequence_length': 714, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 20] val_loss=0.001153, params={'sequence_length': 870, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 21] val_loss=0.001086, params={'sequence_length': 882, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 22] val_loss=0.001493, params={'sequence_length': 918, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 23] val_loss=0.001219, params={'sequence_length': 876, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 24] val_loss=0.001215, params={'sequence_length': 990, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 25] val_loss=0.001094, params={'sequence_length': 828, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 26] val_loss=0.002608, params={'sequence_length': 1002, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.5, 'weight_decay': 1e-05}
