number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_sequence_length,params_weight_decay,state
0,0.0024122987013694393,2025-07-14 09:33:09.080708,2025-07-14 12:08:32.182793,0 days 02:35:23.102085,16,0.0,128,4,498,0.0001,COMPLETE
1,0.0023553557986492326,2025-07-14 12:08:32.188252,2025-07-14 12:20:47.334562,0 days 00:12:15.146310,128,0.5,32,3,48,0.0,COMPLETE
2,0.0024288524013285386,2025-07-14 12:20:47.338672,2025-07-14 13:10:33.392212,0 days 00:49:46.053540,32,0.0,64,2,624,1e-06,COMPLETE
3,0.003031768336333729,2025-07-14 13:10:33.400961,2025-07-14 15:56:57.426573,0 days 02:46:24.025612,64,0.0,256,3,414,0.0001,COMPLETE
4,0.004347779510711042,2025-07-14 15:56:57.431898,2025-07-14 18:55:12.676752,0 days 02:58:15.244854,32,0.1,128,4,990,1e-05,COMPLETE
5,0.003773170777697956,2025-07-14 18:55:12.682980,2025-07-15 06:45:06.082003,0 days 11:49:53.399023,32,0.1,256,5,672,1e-05,COMPLETE
6,0.0018451838985385598,2025-07-15 06:45:06.091419,2025-07-15 07:12:26.673064,0 days 00:27:20.581645,64,0.1,64,2,192,0.0001,COMPLETE
7,0.0010822318034120224,2025-07-15 07:12:26.682369,2025-07-15 08:45:59.965888,0 days 01:33:33.283519,64,0.4,32,5,912,0.0001,COMPLETE
8,0.0018661817814927349,2025-07-15 08:45:59.969633,2025-07-15 09:05:38.794076,0 days 00:19:38.824443,64,0.3,64,2,228,0.0,COMPLETE
9,0.00238301392224212,2025-07-15 09:05:38.800752,2025-07-15 12:09:28.032174,0 days 03:03:49.231422,32,0.5,256,3,360,0.0001,COMPLETE
10,0.0034116163811959456,2025-07-15 12:09:28.038010,2025-07-15 13:52:56.138695,0 days 01:43:28.100685,16,0.4,32,5,894,1e-06,COMPLETE
11,0.0021551015441318927,2025-07-15 13:52:56.167471,2025-07-15 14:11:12.454108,0 days 00:18:16.286637,64,0.2,64,2,12,0.0001,COMPLETE
12,0.0012026741256482276,2025-07-15 14:11:12.459565,2025-07-15 14:54:19.323063,0 days 00:43:06.863498,64,0.4,32,5,756,0.0001,COMPLETE
13,0.001272111999143353,2025-07-15 14:54:19.328173,2025-07-15 15:53:03.258772,0 days 00:58:43.930599,64,0.4,32,5,792,0.0001,COMPLETE
14,0.001510579970538038,2025-07-15 15:53:03.263783,2025-07-15 16:35:48.066935,0 days 00:42:44.803152,128,0.4,32,5,780,0.0001,COMPLETE
15,0.0013631719648355776,2025-07-15 16:35:48.069943,2025-07-15 17:11:06.225612,0 days 00:35:18.155669,64,0.4,32,5,954,0.0001,COMPLETE
16,0.003227858115698892,2025-07-15 17:11:06.230859,2025-07-15 17:40:20.846907,0 days 00:29:14.616048,64,0.4,32,5,834,0.0,COMPLETE
17,0.0015942654218680926,2025-07-15 17:40:20.850034,2025-07-15 18:34:10.487237,0 days 00:53:49.637203,64,0.3,32,5,678,1e-05,COMPLETE
18,0.002051504459121563,2025-07-15 18:34:10.490103,2025-07-15 18:58:18.767424,0 days 00:24:08.277321,128,0.2,32,5,576,1e-06,COMPLETE
19,0.001489202483361564,2025-07-15 18:58:18.773570,2025-07-16 00:35:20.806180,0 days 05:37:02.032610,16,0.4,128,4,714,0.0001,COMPLETE
20,0.0011527328732188328,2025-07-16 00:35:20.812193,2025-07-16 01:48:24.176286,0 days 01:13:03.364093,64,0.4,32,5,870,0.0001,COMPLETE
21,0.001086448932315351,2025-07-16 01:48:24.179996,2025-07-16 02:53:49.377992,0 days 01:05:25.197996,64,0.4,32,5,882,0.0001,COMPLETE
