[Trial 0] best val=3.1251e-03, params={'sequence_length': 822, 'hidden_size': 256, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.5, 'weight_decay': 0.0}
[Trial 1] best val=1.1083e-03, params={'sequence_length': 1008, 'hidden_size': 32, 'num_layers': 3, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 1e-06}
[Trial 2] best val=9.7333e-04, params={'sequence_length': 606, 'hidden_size': 128, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 3] best val=2.2082e-03, params={'sequence_length': 426, 'hidden_size': 128, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.1, 'weight_decay': 0.0}
[Trial 4] best val=6.2557e-04, params={'sequence_length': 990, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 0.0001}
[Trial 5] best val=7.4496e-04, params={'sequence_length': 744, 'hidden_size': 256, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 6] best val=2.1851e-03, params={'sequence_length': 498, 'hidden_size': 256, 'num_layers': 3, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 1e-06}
[Trial 7] best val=1.8813e-03, params={'sequence_length': 990, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 1e-06}
[Trial 8] best val=1.2112e-03, params={'sequence_length': 942, 'hidden_size': 256, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 0.0001}
[Trial 9] best val=1.0409e-03, params={'sequence_length': 840, 'hidden_size': 32, 'num_layers': 3, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 1e-06}
[Trial 10] best val=1.3511e-03, params={'sequence_length': 222, 'hidden_size': 64, 'num_layers': 4, 'batch_size': 64, 'dropout': 0.3, 'weight_decay': 1e-05}
[Trial 11] best val=5.8887e-04, params={'sequence_length': 690, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 12] best val=6.8592e-04, params={'sequence_length': 654, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 13] best val=8.9644e-04, params={'sequence_length': 270, 'hidden_size': 64, 'num_layers': 4, 'batch_size': 64, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 14] best val=3.0911e-03, params={'sequence_length': 18, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.5, 'weight_decay': 1e-05}
[Trial 15] best val=5.7553e-04, params={'sequence_length': 726, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 16] best val=7.4002e-04, params={'sequence_length': 642, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 17] best val=8.3072e-04, params={'sequence_length': 402, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 18] best val=1.1888e-03, params={'sequence_length': 732, 'hidden_size': 128, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.3, 'weight_decay': 1e-05}
[Trial 19] best val=1.4620e-03, params={'sequence_length': 528, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.4, 'weight_decay': 0.0}
[Trial 20] best val=8.4849e-04, params={'sequence_length': 870, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 32, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 21] best val=1.0346e-03, params={'sequence_length': 762, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 0.0001}
[Trial 22] best val=9.6636e-04, params={'sequence_length': 900, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 0.0001}
