number,values_0,params_lambda0,params_lambda1,user_attrs_mae_base,user_attrs_mae_update1,user_attrs_mae_update2
0,0.09279413024584453,5184.962584323171,167.4357833316012,0.11409745,0.076278985,0.08800596
1,0.04479197164376577,176.59042043272592,21.213348979102907,0.079532236,0.02877223,0.026071452
2,0.1016253133614858,8862.132191101999,23.986675699610313,0.015996553,0.11091909,0.1779603
3,0.09167978167533875,157.75267576363572,734.6904066603413,0.03056638,0.10488572,0.13958725
4,0.11837160587310791,12.353639275910602,1110.6574587377079,0.037486035,0.12935026,0.18827854
5,0.10749830802281697,6595.360536544114,6741.6356643125,0.0354071,0.11680849,0.17027934
6,0.08134736617406209,6839.46322434325,22.364527975948736,0.03351048,0.093874514,0.116657116
7,0.08142501612504323,8785.184449568796,4172.39357704431,0.036031913,0.10740086,0.10084228
8,0.09784650802612305,426.74682563441814,6627.83697706703,0.044428688,0.118876785,0.13023406
9,0.052202065785725914,558.2191683106348,15.7399734353765,0.030497164,0.060101192,0.066007845
10,0.07244213422139485,66.94610444285928,110.05829943821938,0.07051322,0.06499694,0.08181624
11,0.10345880190531413,852.8741801010848,10.187661518172984,0.03336357,0.10987675,0.1671361
12,0.058927600582440696,1326.2385800573313,57.651949728531164,0.034096938,0.025808359,0.1168775
13,0.04930848876635233,73.14702285570823,35.97352828142952,0.031058382,0.04877446,0.06809262
14,0.05317006508509318,51.85115555723061,56.73655047351046,0.029157676,0.072197005,0.05815552
15,0.07225159804026286,165.54425336565885,46.086327647616834,0.027871145,0.07493219,0.11395145
16,0.04017236332098643,21.911779972616774,251.95128405858134,0.037517566,0.023479974,0.059519555
17,0.04016680767138799,25.651439915421385,433.5358378389327,0.04658515,0.017076759,0.056838512
18,0.0895978609720866,11.887467231312607,535.5294247712255,0.03930037,0.14453265,0.08496056
19,0.0703144371509552,30.902037221350557,1681.100786921564,0.031955857,0.07847557,0.100511886
20,0.06012031435966492,24.016675337134327,310.39683855917036,0.04979733,0.0762184,0.054345213
21,0.03971549620230993,163.1848826767887,131.25501550016884,0.050887745,0.023763403,0.044495337
22,0.13036712010701498,20.815242532803016,213.07351913232125,0.06278579,0.126719,0.20159656
23,0.053984954953193665,43.20117403702525,127.53901086042897,0.057650924,0.03906197,0.06524197
24,0.025378952423731487,106.55897372508032,388.9925746974312,0.02974705,0.021920472,0.024469333
25,0.08055585622787476,105.93578436702795,2030.4325562111994,0.12394315,0.06987476,0.047849648
26,0.02914619694153468,333.96937968597433,494.4646697167026,0.026366184,0.032605764,0.028466642
27,0.052201504508654274,291.23317402303235,764.2452260934479,0.039563835,0.05577703,0.06126365
28,0.054928516348203026,1914.4665617942558,98.07392346297293,0.08046451,0.045358285,0.03896275
29,0.09574756026268005,348.20269331515124,175.2982588564523,0.04840358,0.10635889,0.1324802
30,0.10139470299084981,2962.835571837118,451.90925696232415,0.14230107,0.10129279,0.060590252
31,0.13016211986541748,101.24870910599044,398.2161559333721,0.03253812,0.1276903,0.23025796
32,0.054082016150156655,233.80187824741745,1144.2711784959513,0.027260894,0.036617137,0.09836803
33,0.03791642685731252,117.97827638974951,285.86339307419695,0.012780496,0.021707332,0.07926145
34,0.06772065659364064,126.04116582661466,83.50838712001192,0.08048739,0.052527737,0.070146844
35,0.07221837341785431,229.017864376285,243.90304672117128,0.028619379,0.089386076,0.098649666
36,0.07880610227584839,490.3512434773206,771.1441920984716,0.051212396,0.079710886,0.10549503
37,0.06117780009905497,845.4186906246713,172.50774390461933,0.023924239,0.09297431,0.066634856
38,0.15544780095418295,84.2746200114256,583.7596605844302,0.21122637,0.1666839,0.08843315
39,0.06070438027381897,151.90130148782373,1161.0705034304372,0.019190291,0.08334821,0.07957464
40,0.06955620149771373,203.61756149860895,2560.040408737051,0.030718451,0.08239226,0.09555789
41,0.11233267188072205,43.516360674116335,345.83159179770666,0.15855213,0.10580637,0.07263952
42,0.023571732143561046,668.578401267148,135.50539567718891,0.028922439,0.0144477235,0.027345035
43,0.072406401236852,726.6647410987391,134.41803470030848,0.017985811,0.07391432,0.12531908
44,0.06017636756102244,335.575664814362,258.2097358977007,0.033511348,0.090291485,0.05672627
45,0.06042509277661642,1425.3744999463654,70.29847386916676,0.018641092,0.06902153,0.093612656
46,0.07959157228469849,616.1927193900806,137.02171376167706,0.07032849,0.04901446,0.119431764
47,0.07159597178300221,403.45054030664886,32.68328088158867,0.022588681,0.064261645,0.12793759
48,0.04206435879071554,135.58359812933134,567.9609515326385,0.012262731,0.056053188,0.057877168
49,0.04846567412217458,56.3046108551766,202.45331200982992,0.023661893,0.072018944,0.049716193
