epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.004377028821184763,0.0017741717345000196,0.004377028821184763,0.0,0.0,0.0001
1,0.00361337007628781,0.0022300224514434116,0.00361337007628781,0.0,0.0,0.0001
2,0.0030806895287121706,0.002198185166126702,0.0030806895287121706,0.0,0.0,0.0001
3,0.0031558281319948806,0.0014158899777767227,0.0031558281319948806,0.0,0.0,0.0001
4,0.0021690854714716324,0.001199882111930763,0.0021690854714716324,0.0,0.0,0.0001
5,0.0014883527290133944,0.0011576241345786847,0.0014883527290133944,0.0,0.0,0.0001
6,0.0011548729914690155,0.0016103341273789593,0.0011548729914690155,0.0,0.0,0.0001
7,0.0010429226789828764,0.001414770419520518,0.0010429226789828764,0.0,0.0,0.0001
8,0.0008406966720376875,0.0016800305713729,0.0008406966720376875,0.0,0.0,0.0001
9,0.0007076501356123137,0.001956478458218628,0.0007076501356123137,0.0,0.0,0.0001
10,0.0005759415210453067,0.0020997051291533,0.0005759415210453067,0.0,0.0,0.0001
11,0.00052278704288663,0.001033347383456886,0.00052278704288663,0.0,0.0,0.0001
12,0.00045620772611900637,0.003291954705036671,0.00045620772611900637,0.0,0.0,0.0001
13,0.00040607328377766463,0.0026353788464396543,0.00040607328377766463,0.0,0.0,0.0001
14,0.0003639506325813712,0.003650997779007444,0.0003639506325813712,0.0,0.0,0.0001
15,0.0003555044643821365,0.0022200116535477676,0.0003555044643821365,0.0,0.0,0.0001
16,0.0003255868545000367,0.004236944919245015,0.0003255868545000367,0.0,0.0,0.0001
17,0.00031661726717689285,0.0035706293470737396,0.00031661726717689285,0.0,0.0,5e-05
18,0.0002452102794352869,0.004149127126675986,0.0002452102794352869,0.0,0.0,5e-05
19,0.00024198957419857228,0.0038983545740695798,0.00024198957419857228,0.0,0.0,5e-05
20,0.00023313651598644872,0.0034293500638886243,0.00023313651598644872,0.0,0.0,5e-05
21,0.00024169520328900065,0.005172246441628658,0.00024169520328900065,0.0,0.0,5e-05
22,0.00020317108766809195,0.005582037961792301,0.00020317108766809195,0.0,0.0,5e-05
23,0.00020221908086083589,0.00590887208203396,0.00020221908086083589,0.0,0.0,2.5e-05
24,0.00017655107048526468,0.005729654868528858,0.00017655107048526468,0.0,0.0,2.5e-05
25,0.00016979242145369905,0.00578668544330935,0.00016979242145369905,0.0,0.0,2.5e-05
26,0.00016232160919600174,0.0054031163200313264,0.00016232160919600174,0.0,0.0,2.5e-05
27,0.00015939248379162371,0.005412928668066205,0.00015939248379162371,0.0,0.0,2.5e-05
28,0.00015503649938107715,0.005034410492351031,0.00015503649938107715,0.0,0.0,2.5e-05
29,0.00015517711071881844,0.0047605632839046,0.00015517711071881844,0.0,0.0,1.25e-05
30,0.00013960448939272834,0.005174273327644902,0.00013960448939272834,0.0,0.0,1.25e-05
31,0.00013694071350486928,0.005147078247076595,0.00013694071350486928,0.0,0.0,1.25e-05
