number,value,datetime_start,datetime_complete,duration,params_factor,params_gamma,params_optimizer,params_scheduler,params_step_size,state
0,0.011071967606673255,2025-07-23 14:18:48.036208,2025-07-23 16:23:41.776438,0 days 02:04:53.740230,,,Adam,CosineAnnealingLR,,COMPLETE
1,0.01561336545500975,2025-07-23 16:23:41.827946,2025-07-23 18:33:00.064137,0 days 02:09:18.236191,,,RMSprop,CosineAnnealingLR,,COMPLETE
2,0.00993169256008659,2025-07-23 18:33:00.156630,2025-07-23 20:36:03.555824,0 days 02:03:03.399194,0.4323836890581305,,Adam,ReduceLROnPlateau,,COMPLETE
3,0.049050217418457845,2025-07-23 20:36:03.601037,2025-07-24 09:32:26.851808,0 days 12:56:23.250771,,0.5775557083512377,SGD,StepLR,22.0,COMPLETE
4,0.04724912638177026,2025-07-24 09:32:26.894398,2025-07-24 21:26:15.855362,0 days 11:53:48.960964,,0.6676441794867605,SGD,StepLR,20.0,COMPLETE
5,0.26027796877072057,2025-07-24 21:26:15.887080,2025-07-24 21:29:48.920787,0 days 00:03:33.033707,,0.4100206137462638,SGD,StepLR,22.0,PRUNED
6,0.044380628211734816,2025-07-24 21:29:48.967823,2025-07-24 21:33:22.453998,0 days 00:03:33.486175,,0.413902309359615,RMSprop,StepLR,14.0,PRUNED
7,0.21041562219687518,2025-07-24 21:33:22.474769,2025-07-24 21:36:53.728816,0 days 00:03:31.254047,,,SGD,CosineAnnealingLR,,PRUNED
8,0.03433914790140302,2025-07-24 21:36:53.745027,2025-07-24 21:40:22.517492,0 days 00:03:28.772465,0.4317069770490872,,Adam,ReduceLROnPlateau,,PRUNED
9,0.02266718895708066,2025-07-24 21:40:22.543254,2025-07-24 22:01:18.821440,0 days 00:20:56.278186,,0.42980691801232446,RMSprop,StepLR,16.0,PRUNED
10,0.010984531750775274,2025-07-24 22:01:18.847387,2025-07-25 00:54:09.663439,0 days 02:52:50.816052,0.6382050819824789,,Adam,ReduceLROnPlateau,,COMPLETE
11,0.024397607082782796,2025-07-25 00:54:09.702773,2025-07-25 01:09:57.687993,0 days 00:15:47.985220,0.6983351584879476,,Adam,ReduceLROnPlateau,,PRUNED
12,0.02462026433951257,2025-07-25 01:09:57.708230,2025-07-25 01:36:50.042814,0 days 00:26:52.334584,0.5872120111659851,,Adam,ReduceLROnPlateau,,PRUNED
13,0.0066889875530694335,2025-07-25 01:36:50.126479,2025-07-25 03:41:11.532411,0 days 02:04:21.405932,0.32874927535664394,,Adam,ReduceLROnPlateau,,COMPLETE
14,0.05305868631428574,2025-07-25 03:41:11.623058,2025-07-25 03:46:20.055695,0 days 00:05:08.432637,0.3025770292933855,,Adam,ReduceLROnPlateau,,PRUNED
15,0.018512378157433607,2025-07-25 03:46:20.124878,2025-07-25 04:29:39.867837,0 days 00:43:19.742959,0.37481635084978737,,Adam,ReduceLROnPlateau,,PRUNED
16,0.009958059692681855,2025-07-25 04:29:39.891044,2025-07-25 06:30:04.239448,0 days 02:00:24.348404,0.4822880588130838,,Adam,ReduceLROnPlateau,,COMPLETE
17,0.03817159297492033,2025-07-25 06:30:04.317429,2025-07-25 06:33:28.457446,0 days 00:03:24.140017,0.30429172814612176,,Adam,ReduceLROnPlateau,,PRUNED
18,0.022684813151532243,2025-07-25 06:33:28.474788,2025-07-25 06:52:02.283768,0 days 00:18:33.808980,0.4046381854760268,,Adam,ReduceLROnPlateau,,PRUNED
19,0.04096163551956838,2025-07-25 06:52:02.341749,2025-07-25 06:55:04.254031,0 days 00:03:01.912282,0.5172992717184285,,RMSprop,ReduceLROnPlateau,,PRUNED
20,0.03851441762088046,2025-07-25 06:55:04.276114,2025-07-25 06:58:06.249586,0 days 00:03:01.973472,,,Adam,CosineAnnealingLR,,PRUNED
21,0.018739771082331737,2025-07-25 06:58:06.274093,2025-07-25 07:32:41.547875,0 days 00:34:35.273782,0.48545683675259854,,Adam,ReduceLROnPlateau,,PRUNED
22,0.02734592468189542,2025-07-25 07:32:41.577608,2025-07-25 07:52:19.905702,0 days 00:19:38.328094,0.49609530454500916,,Adam,ReduceLROnPlateau,,PRUNED
23,0.051221277812574996,2025-07-25 07:52:19.969837,2025-07-25 07:56:51.821991,0 days 00:04:31.852154,0.3763935124664562,,Adam,ReduceLROnPlateau,,PRUNED
