2025-07-27 00:12:20,336 - ==== Incremental Training Phase ====
2025-07-27 00:13:53,560 - Incremental training - Task 0 Train IDs: ['03', '05', '07', '27'], size: 92079
2025-07-27 00:13:53,561 - Incremental training - Task 0 Val IDs: ['01'], size: 28612
2025-07-27 00:13:53,564 - Incremental training - Task 1 Train IDs: ['21', '23', '25'], size: 65674
2025-07-27 00:13:53,567 - Incremental training - Task 1 Val IDs: ['19'], size: 23120
2025-07-27 00:13:53,584 - Incremental training - Task 2 Train IDs: ['09', '11', '15', '29'], size: 47891
2025-07-27 00:13:53,588 - Incremental training - Task 2 Val IDs: ['13'], size: 6445
2025-07-27 00:13:53,592 - Incremental training - Test ID: 17, size: 22872
2025-07-27 00:13:53,593 - Incremental training - Test Task 0 size: 11139
2025-07-27 00:13:53,595 - Incremental training - Test Task 1 size: 6312
2025-07-27 00:13:53,596 - Incremental training - Test Task 2 size: 5421
2025-07-27 00:13:53,616 -   (Scaler) Scaler centers: [ 3.31975183  0.         27.55116667]
2025-07-27 00:13:53,681 -   (Scaler) Scaler scales: [0.20016217 1.86108033 1.05333333]
2025-07-27 00:13:54,425 - == Training task0 (MAS λ=215.95) ==
2025-07-27 00:17:10,523 - Epoch 000 | task 4.8488e-02 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.5722e-04 | lr 1.00e-04 | 87.26s
2025-07-27 00:18:36,792 - Epoch 001 | task 1.8645e-02 | kd 0.0000e+00 | mas 0.0000e+00 | val 2.4081e-03 | lr 1.00e-04 | 86.24s
2025-07-27 00:20:02,997 - Epoch 002 | task 1.2441e-02 | kd 0.0000e+00 | mas 0.0000e+00 | val 8.2497e-04 | lr 1.00e-04 | 86.20s
2025-07-27 00:21:29,012 - Epoch 003 | task 7.5739e-03 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.9043e-04 | lr 1.00e-04 | 86.01s
2025-07-27 00:22:55,145 - Epoch 004 | task 3.9881e-03 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.3876e-04 | lr 1.00e-04 | 86.13s
2025-07-27 00:24:21,468 - Epoch 005 | task 1.8379e-03 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.6357e-04 | lr 1.00e-04 | 86.29s
2025-07-27 00:25:45,941 - Epoch 006 | task 8.0667e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.4164e-04 | lr 1.00e-04 | 84.47s
2025-07-27 00:27:09,016 - Epoch 007 | task 5.1183e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.2750e-04 | lr 1.00e-04 | 83.07s
2025-07-27 00:28:32,370 - Epoch 008 | task 4.7655e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.3377e-04 | lr 1.00e-04 | 83.32s
2025-07-27 00:29:55,967 - Epoch 009 | task 4.6595e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.5643e-04 | lr 1.00e-04 | 83.58s
2025-07-27 00:31:22,722 - Epoch 010 | task 4.5433e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.1107e-04 | lr 1.00e-04 | 86.75s
2025-07-27 00:33:31,311 - Epoch 011 | task 4.3639e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.5239e-04 | lr 1.00e-04 | 128.58s
2025-07-27 00:35:50,116 - Epoch 012 | task 4.2717e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.7536e-04 | lr 1.00e-04 | 138.78s
2025-07-27 00:37:31,276 - Epoch 013 | task 4.0401e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.6258e-04 | lr 5.00e-05 | 101.15s
2025-07-27 00:39:13,172 - Epoch 014 | task 3.3536e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.7758e-04 | lr 5.00e-05 | 101.89s
2025-07-27 00:40:48,688 - Epoch 015 | task 3.2815e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.9237e-04 | lr 5.00e-05 | 95.51s
2025-07-27 00:42:55,836 - Epoch 016 | task 3.0510e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 6.1790e-04 | lr 5.00e-05 | 127.14s
2025-07-27 00:45:20,583 - Epoch 017 | task 2.9327e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.3593e-04 | lr 5.00e-05 | 144.71s
2025-07-27 00:47:56,384 - Epoch 018 | task 2.7027e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.8942e-04 | lr 5.00e-05 | 155.77s
2025-07-27 00:50:32,600 - Epoch 019 | task 2.6097e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.9424e-04 | lr 2.50e-05 | 156.17s
2025-07-27 00:53:09,384 - Epoch 020 | task 2.4819e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.6923e-04 | lr 2.50e-05 | 156.75s
2025-07-27 00:55:52,054 - Epoch 021 | task 2.4674e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.3763e-04 | lr 2.50e-05 | 162.64s
2025-07-27 00:58:36,786 - Epoch 022 | task 2.4393e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.8528e-04 | lr 2.50e-05 | 164.69s
2025-07-27 01:01:21,079 - Epoch 023 | task 2.4126e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.8206e-04 | lr 2.50e-05 | 164.26s
2025-07-27 01:04:05,834 - Epoch 024 | task 2.4436e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.2021e-04 | lr 2.50e-05 | 164.72s
2025-07-27 01:06:48,536 - Epoch 025 | task 2.4139e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.9281e-04 | lr 1.25e-05 | 162.69s
2025-07-27 01:09:27,641 - Epoch 026 | task 2.3259e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 4.8455e-04 | lr 1.25e-05 | 159.07s
2025-07-27 01:11:59,616 - Epoch 027 | task 2.3163e-04 | kd 0.0000e+00 | mas 0.0000e+00 | val 5.0736e-04 | lr 1.25e-05 | 151.94s
2025-07-27 01:11:59,629 - Early stopping at epoch 28
