epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
0,0.0029828584310987952,0.0008581982986792371,0.0001,101.72245812416077,0.0024217519743881507,0.0018100444929081872,3.838188523255487e-06
1,0.0019629149002627225,0.001423344839528714,0.0001,113.53528070449829,0.0011537622301162386,0.0026216654436939293,2.006228762172723e-06
2,0.001902408603632058,0.001057265791614991,0.0001,110.05086421966553,0.0010661286617713022,0.002707148331970968,2.8154187437913317e-06
3,0.0017033166958490406,0.0022573913733241087,0.0001,133.21715998649597,0.0008386673037339612,0.0027990683584570982,2.884951030232893e-06
4,0.001685101104517612,0.001686431601099717,0.0001,109.9316725730896,0.0008205923542727704,0.0027970779170575686,3.357114802061911e-06
5,0.001662637238462234,0.0011940532417395388,0.0001,102.91559433937073,0.000786903817623719,0.0028316218606596237,3.946552681259276e-06
6,0.0017548786800957038,0.0010859966773823057,5e-05,114.72288751602173,0.0009099491066875918,0.0027302291512349493,4.359032315382897e-06
7,0.0015414366066866716,0.0015183161081854632,5e-05,95.83319973945618,0.0006520608977150013,0.00287415988140069,4.492430142919485e-06
8,0.0015227756272995926,0.002565642283176471,5e-05,111.11503887176514,0.0006254775197267175,0.0028979823555378434,5.080468527083963e-06
9,0.0015170605246536944,0.0017874563758530015,5e-05,145.87956595420837,0.0006226051408718513,0.0028884749411488787,5.164847827138637e-06
10,0.0014813724918511695,0.0020061873087799144,5e-05,109.41548681259155,0.0005838407869646321,0.002898456062221836,5.168228679958933e-06
11,0.0014770669092896772,0.0015395283048385369,5e-05,90.69776463508606,0.0005736443818422864,0.00291637183733198,5.543222782183045e-06
12,0.0015011371752118973,0.0022449399234741713,2.5e-05,85.29062676429749,0.0005992466207929422,0.0029109919646798277,5.667581858409987e-06
13,0.0014636082625073693,0.0019507993452750887,2.5e-05,110.13176822662354,0.0005615497945095581,0.0029130744136136137,5.194360292189868e-06
14,0.0014352288316402723,0.0020858661053886098,2.5e-05,119.06697225570679,0.0005340396493211807,0.0029102957840645514,5.180544283480345e-06
15,0.0014256646601703976,0.002259364601197912,2.5e-05,122.15684485435486,0.0005173395664596574,0.0029323156766769415,5.537074174224433e-06
16,0.001409722644649945,0.0025436133718448315,2.5e-05,127.81140065193176,0.0005032644479190658,0.0029255748856023256,5.745498884078597e-06
17,0.0014062720187426397,0.00258595300618083,2.5e-05,117.89283275604248,0.0004957938139603038,0.00293789602686545,5.972132516464146e-06
18,0.00139862065569169,0.003058227297502165,1.25e-05,118.26239490509033,0.0004901062263922348,0.0029299339706000288,6.459677064931387e-06
19,0.0013828823528828278,0.0034521078531352194,1.25e-05,114.32450866699219,0.000475284508452122,0.0029273634967185267,6.334478614974416e-06
20,0.001379844435789275,0.003119049533735116,1.25e-05,115.93238425254822,0.00047208273746968094,0.0029287177360874626,6.081394231447905e-06
