trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full,0,-1,0.073768616,0.07371306051788667,0.09331283,0.09322789956539088,-0.22997307777404785,-0.22773511029554472,-0.07376861572265625
task0,task0,0,0,0.041691694,0.041572879755251396,0.048675645,0.04857301059833605,-2.764293670654297,-2.7484361846426637,-0.04169169440865517
task0,task1,0,1,0.057139885,0.05714263912714,0.06544881,0.06540587924782788,-5.621885299682617,-5.613200266797147,-0.05713988468050957
task0,task2,0,2,0.16361739,0.1635184244986455,0.1664766,0.1663323024650973,-86.28150939941406,-86.13025569060228,-0.16361738741397858
task1,full,1,-1,0.07078511,0.07076813785093143,0.09036828,0.09028985773685515,-0.1535724401473999,-0.15157125060708654,-0.07078511267900467
task1,task0,1,0,0.023815708,0.023790193164107753,0.029143834,0.02910397052980238,-0.3494396209716797,-0.3457505344932572,-0.023815708234906197
task1,task1,1,1,0.08354473,0.08359467669039507,0.087170005,0.08713249705141894,-10.746603012084961,-10.736495015428321,-0.08354473114013672
task1,task2,1,2,0.15610649,0.15608440110461594,0.1579431,0.15781364370806975,-77.56282806396484,-77.43409400285353,-0.15610648691654205
task2,full,2,-1,0.08394585,0.08401063566349097,0.09227004,0.0923262848983864,-0.20263636112213135,-0.20410288614959482,-0.0839458480477333
task2,task0,2,0,0.048817948,0.04884225098500774,0.053497188,0.05351344750808702,-3.546969413757324,-3.549733284539153,-0.0488179475069046
task2,task1,2,1,0.10644453,0.10655247937973361,0.106778264,0.1068695872768953,-16.62559700012207,-16.655757795785746,-0.10644453018903732
task2,task2,2,2,0.1274721,0.12757484728182011,0.12812491,0.12819211835203706,-50.699100494384766,-50.75334659069888,-0.12747210264205933
