number,values_0,params_epsilon,params_lambda0,params_lambda1,params_lambda2
0,0.07315967231988907,0.0006251373574521745,0.013292918943162165,0.711447600934342,0.15702970884055384
1,0.07180745154619217,0.003967605077052989,0.0029380279387035343,0.0029375384576328283,0.0014936568554617625
2,0.036188654601573944,0.008123245085588688,0.06358358856676251,0.13311216080736885,0.00115279871282324
3,0.06625746935606003,3.5498788321965036e-05,0.31428808908401085,0.004335281794951566,0.0035113563139704067
4,0.03444521501660347,7.476312062252303e-05,0.008179499475211672,0.03752055855124281,0.01976218934028007
5,0.06092064455151558,0.00012562773503807024,0.06847920095574778,0.002621087878265439,0.007523742884534853
6,0.02747303806245327,0.0003489018845491386,0.023345864076016236,0.22673986523780384,0.00397211072738191
7,0.06890389323234558,3.247673570627447e-05,0.05987474910461398,0.001378323745500718,0.06647135865318027
8,0.04410231113433838,0.002661901888489057,0.001567309546723541,0.7025166339242155,0.7886714129990487
9,0.048709601163864136,0.00020914981329035596,0.008200518402245833,0.001963434157293333,0.11290133559092672
10,0.021244680508971214,0.0008306050731972216,0.684557026727292,0.13134119273039432,0.0127698653567965
11,0.058913398534059525,0.0007451617972708867,0.6416134266141068,0.13711669318993192,0.013452495609769001
12,0.05815989151597023,0.0010226388945099737,0.22433077847887195,0.16414083340694216,0.00475379272523357
13,0.04796868935227394,0.0004221329465508774,0.02283731280174415,0.032425144989885274,0.03994935407218855
14,0.029627030715346336,0.0016047348113913404,0.9393390932458895,0.2685568028336911,0.0028430055702376145
15,0.033212631940841675,0.00030769747791639933,0.1784590076508371,0.010891337991705854,0.010551299110538957
16,0.08337699621915817,0.00010675736963796113,0.12690764532532672,0.06023031922361895,0.027788523952369235
17,0.037839338183403015,1.7036870739195137e-05,0.025839133842024357,0.30405398960304,0.39011663045602735
18,0.11129623651504517,0.0012567753663605765,0.0047208453040994865,0.013062974500794708,0.006674569554730195
19,0.0617208369076252,0.0002782617401225212,0.44197984416224656,0.0837351065917604,0.002346774490432792
20,0.08472621440887451,0.002982624349714008,0.03279332695875894,0.35913743201975906,0.017500620015880465
21,0.06490878760814667,0.0017143452885692416,0.733841223189093,0.31037209954496253,0.0025769803536340747
22,0.05521559715270996,0.008675145655490915,0.6496560363487969,0.22035146000827127,0.004742719302808381
23,0.10792606323957443,0.0004969810211910517,0.12731178898184317,0.08454465736728856,0.0019205315285632442
24,0.02327483892440796,0.0017905716664152994,0.899019049314854,0.920715873345125,0.0087458820561294
25,0.028036313131451607,0.005647597978523844,0.3151213813227705,0.8971394864362651,0.009786164370681668
26,0.03552353009581566,0.0008722571218262302,0.40915136411393316,0.49692193013387637,0.04060559932038942
27,0.10500287264585495,0.00017894464746217272,0.988424569866634,0.48543756139984695,0.005444309715617143
28,0.04133504256606102,0.0016893806027344141,0.04139083614580866,0.017192311639371873,0.02364511162371116
29,0.09250660985708237,0.0005208567604581725,0.015616866297340663,0.6207753616215776,0.07799938603008512
30,0.03708045929670334,0.0025478964193222965,0.10027924743240729,0.9191111556647478,0.2179137362291212
31,0.08044786006212234,0.005265299389965064,0.27009348771203245,0.9383064917234968,0.010549067224516512
32,0.02900352142751217,0.004649040213668908,0.5143032391278729,0.4897087772846108,0.01065082441495189
33,0.039382126182317734,0.005570132386736981,0.3312518852898008,0.20162884874233142,0.0011093373486981719
34,0.029775293543934822,0.003439115559393218,0.16253445337944827,0.09392174869977296,0.007513062408370043
35,0.06331635266542435,0.0006155118481316011,0.011839521790889642,0.42763408045360407,0.004291730989072139
36,0.02953197993338108,0.006970526593112699,0.46465302228155236,0.04407459733108029,0.015422659783236646
37,0.04577353969216347,0.0019624920724733786,0.05012140080466158,0.726955827370471,0.036066352967586535
38,0.02609747089445591,0.009826740452177555,0.003600474295049268,0.11678444473251721,0.0015659272294430168
39,0.09848299622535706,6.617848737218714e-05,0.0016290309780104366,0.11394815747316382,0.0015667073419873652
40,0.07312051206827164,0.0003765155738783405,0.0030800956811497357,0.05958501246716488,0.00326862604950158
41,0.023334695026278496,0.009959567566960243,0.0011045407954753488,0.1791697769143921,0.001562502797351193
42,0.08598848432302475,0.007610708324031453,0.0010925298615298061,0.15517143033981923,0.0014054666493572322
43,0.04552004113793373,0.0040027276955957826,0.004537758604267383,0.18923678042901373,0.0018141048247797282
44,0.0988096371293068,0.0012411384914224307,0.002021238158466957,0.05724942959154595,0.003643826468678827
45,0.047597240656614304,0.00880006584727193,0.0011465413822511626,0.11296941686719414,0.0011377532218502225
46,0.04406068101525307,0.0002138046809868594,0.0058635537116426715,0.01980095201772881,0.0023243838216335166
47,0.03797996789216995,0.0023296222883491986,0.002790094019262476,0.24109540206390245,0.005944660772664418
48,0.05839844420552254,0.0007101042561483029,0.01004749679998157,0.02787277048518108,0.003409262082084782
49,0.11154544353485107,0.0010637833123260294,0.0025463276659049763,0.14201027398971697,0.0014434519444175105
