number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_sequence_length,params_weight_decay,state
0,0.003125106291327782,2025-07-14 14:08:48.120773,2025-07-15 03:32:57.756665,0 days 13:24:09.635892,16,0.5,256,4,822,0.0,COMPLETE
1,0.0011083339377950196,2025-07-15 03:32:57.765715,2025-07-15 05:39:44.486289,0 days 02:06:46.720574,16,0.0,32,3,1008,1e-06,COMPLETE
2,0.0009733292045086076,2025-07-15 05:39:44.491909,2025-07-15 06:58:40.308136,0 days 01:18:55.816227,32,0.0,128,2,606,0.0001,COMPLETE
3,0.002208233529517843,2025-07-15 06:58:40.313006,2025-07-15 08:42:11.393957,0 days 01:43:31.080951,16,0.1,128,2,426,0.0,COMPLETE
4,0.0006255740201230336,2025-07-15 08:42:11.402370,2025-07-15 10:45:29.468454,0 days 02:03:18.066084,32,0.1,32,4,990,0.0001,COMPLETE
5,0.0007449552135777426,2025-07-15 10:45:29.476883,2025-07-15 16:18:11.539467,0 days 05:32:42.062584,128,0.2,256,5,744,0.0001,COMPLETE
6,0.0021850517923569816,2025-07-15 16:18:11.544428,2025-07-15 18:07:07.203143,0 days 01:48:55.658715,128,0.4,256,3,498,1e-06,COMPLETE
7,0.0018813339864601729,2025-07-15 18:07:07.208695,2025-07-15 18:54:59.821605,0 days 00:47:52.612910,32,0.1,32,5,990,1e-06,COMPLETE
8,0.0012111768175371359,2025-07-15 18:54:59.826771,2025-07-16 06:03:57.524608,0 days 11:08:57.697837,32,0.1,256,4,942,0.0001,COMPLETE
9,0.0010409068436170936,2025-07-16 06:03:57.529527,2025-07-16 06:37:55.270589,0 days 00:33:57.741062,32,0.0,32,3,840,1e-06,COMPLETE
10,0.0013510559872530927,2025-07-16 06:37:55.285625,2025-07-16 07:08:32.806799,0 days 00:30:37.521174,64,0.3,64,4,222,1e-05,COMPLETE
11,0.0005888708186644588,2025-07-16 07:08:32.812422,2025-07-16 07:45:32.899462,0 days 00:37:00.087040,128,0.2,64,5,690,0.0001,COMPLETE
12,0.0006859209413867153,2025-07-16 07:45:32.905456,2025-07-16 08:25:59.243879,0 days 00:40:26.338423,128,0.2,64,5,654,0.0001,COMPLETE
13,0.0008964378879870694,2025-07-16 08:25:59.248813,2025-07-16 08:59:53.933782,0 days 00:33:54.684969,64,0.2,64,4,270,0.0001,COMPLETE
14,0.003091101251883336,2025-07-16 08:59:53.938871,2025-07-16 09:15:07.733635,0 days 00:15:13.794764,128,0.5,64,5,18,1e-05,COMPLETE
15,0.0005755347401909339,2025-07-16 09:15:07.742133,2025-07-16 10:56:57.120126,0 days 01:41:49.377993,32,0.4,32,4,726,0.0001,COMPLETE
16,0.000740019393734398,2025-07-16 10:56:57.128683,2025-07-16 11:33:39.353678,0 days 00:36:42.224995,128,0.4,32,5,642,0.0001,COMPLETE
17,0.0008307231902487763,2025-07-16 11:33:39.363908,2025-07-16 12:05:34.500737,0 days 00:31:55.136829,64,0.4,64,2,402,0.0001,COMPLETE
18,0.0011888367174102716,2025-07-16 12:05:34.509570,2025-07-16 14:10:48.005578,0 days 02:05:13.496008,128,0.3,128,5,732,1e-05,COMPLETE
19,0.0014619522938671618,2025-07-16 14:10:48.010681,2025-07-16 15:01:09.213410,0 days 00:50:21.202729,32,0.4,32,4,528,0.0,COMPLETE
20,0.0008484923792214,2025-07-16 15:01:09.224637,2025-07-16 16:06:48.632680,0 days 01:05:39.408043,32,0.2,64,5,870,0.0001,COMPLETE
21,0.0010346126555163626,2025-07-16 16:06:48.636979,2025-07-16 18:16:47.926475,0 days 02:09:59.289496,32,0.1,32,4,762,0.0001,COMPLETE
22,0.0009663625624951866,2025-07-16 18:16:47.932394,2025-07-16 19:53:44.992874,0 days 01:36:57.060480,32,0.1,32,4,900,0.0001,COMPLETE
23,0.0007442159594504029,2025-07-16 19:53:44.998987,2025-07-16 21:21:16.196626,0 days 01:27:31.197639,32,0.2,32,4,570,0.0001,COMPLETE
24,0.0007056238855360266,2025-07-16 21:21:16.200526,2025-07-16 22:54:40.147970,0 days 01:33:23.947444,32,0.4,32,4,702,0.0001,COMPLETE
25,0.0007231209453075645,2025-07-16 22:54:40.152929,2025-07-16 23:35:05.314302,0 days 00:40:25.161373,128,0.5,32,4,816,0.0001,COMPLETE
26,0.0006653957505866251,2025-07-16 23:35:05.319177,2025-07-17 00:44:27.201303,0 days 01:09:21.882126,16,0.3,64,2,936,0.0001,COMPLETE
27,0.0016720116747162127,2025-07-17 00:44:27.206222,2025-07-17 02:01:08.440360,0 days 01:16:41.234138,64,0.1,128,3,666,1e-05,COMPLETE
