[Trial 0] val_loss=0.003161, params={'sequence_length': 840, 'hidden_size': 256, 'num_layers': 3, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 1e-05}
[Trial 1] val_loss=0.002239, params={'sequence_length': 186, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.1, 'weight_decay': 0.0001}
[Trial 2] val_loss=0.001098, params={'sequence_length': 1008, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 3] val_loss=0.000933, params={'sequence_length': 678, 'hidden_size': 32, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 1e-05}
[Trial 4] val_loss=0.002917, params={'sequence_length': 468, 'hidden_size': 256, 'num_layers': 3, 'batch_size': 32, 'dropout': 0.4, 'weight_decay': 1e-05}
[Trial 5] val_loss=0.005208, params={'sequence_length': 528, 'hidden_size': 128, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.3, 'weight_decay': 1e-06}
[Trial 6] val_loss=0.002870, params={'sequence_length': 378, 'hidden_size': 128, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.1, 'weight_decay': 1e-06}
[Trial 7] val_loss=0.002142, params={'sequence_length': 456, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.1, 'weight_decay': 1e-06}
[Trial 8] val_loss=0.005639, params={'sequence_length': 642, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 16, 'dropout': 0.4, 'weight_decay': 0.0}
[Trial 9] val_loss=0.009443, params={'sequence_length': 672, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 1e-06}
[Trial 10] val_loss=0.003124, params={'sequence_length': 30, 'hidden_size': 32, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.5, 'weight_decay': 1e-05}
[Trial 11] val_loss=0.001293, params={'sequence_length': 1008, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 12] val_loss=0.001149, params={'sequence_length': 996, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 13] val_loss=0.002372, params={'sequence_length': 750, 'hidden_size': 32, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.0, 'weight_decay': 0.0}
[Trial 14] val_loss=0.001232, params={'sequence_length': 858, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 15] val_loss=0.002973, params={'sequence_length': 876, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 1e-05}
[Trial 16] val_loss=0.002179, params={'sequence_length': 288, 'hidden_size': 32, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.5, 'weight_decay': 1e-05}
[Trial 17] val_loss=0.001269, params={'sequence_length': 606, 'hidden_size': 32, 'num_layers': 3, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
