number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_num_layers,params_seq_length,params_weight_decay,state
0,0.005295457676389942,2025-07-08 19:00:13.730981,2025-07-08 19:13:45.713486,0 days 00:13:31.982505,0.2,64,5,144,0.0001,COMPLETE
1,0.003147625481788557,2025-07-08 19:13:45.733592,2025-07-08 19:23:03.316963,0 days 00:09:17.583371,0.1,128,3,432,1e-05,COMPLETE
2,0.003975302054038055,2025-07-08 19:23:03.335455,2025-07-08 19:28:25.587000,0 days 00:05:22.251545,0.0,64,3,576,1e-06,COMPLETE
3,0.004525191574781668,2025-07-08 19:28:25.604840,2025-07-08 19:32:13.538349,0 days 00:03:47.933509,0.5,128,2,720,0.0,COMPLETE
4,0.010976259935540444,2025-07-08 19:32:13.561424,2025-07-08 19:53:46.651357,0 days 00:21:33.089933,0.1,32,2,144,0.0,COMPLETE
5,0.004914913772842138,2025-07-08 19:53:46.726459,2025-07-08 20:02:06.771033,0 days 00:08:20.044574,0.3,128,5,864,1e-06,COMPLETE
6,0.00364903684783592,2025-07-08 20:02:06.817090,2025-07-08 20:15:53.905436,0 days 00:13:47.088346,0.1,128,5,432,0.0,COMPLETE
7,0.005142127800715981,2025-07-08 20:15:53.933332,2025-07-08 20:25:35.721940,0 days 00:09:41.788608,0.5,128,5,576,1e-05,COMPLETE
8,0.0036740272288150054,2025-07-08 20:25:35.747611,2025-07-08 20:36:49.011306,0 days 00:11:13.263695,0.0,128,2,288,1e-05,COMPLETE
9,0.005281882980097287,2025-07-08 20:36:49.031474,2025-07-08 20:39:59.444279,0 days 00:03:10.412805,0.5,32,5,432,1e-06,COMPLETE
10,0.004424395482826746,2025-07-08 20:39:59.461438,2025-07-08 21:10:02.788302,0 days 00:30:03.326864,0.4,256,3,1008,1e-05,COMPLETE
11,0.003824829310977574,2025-07-08 21:10:02.809955,2025-07-08 21:23:30.113212,0 days 00:13:27.303257,0.1,128,4,432,0.0,COMPLETE
12,0.003287571463403083,2025-07-08 21:23:30.125842,2025-07-08 21:53:25.447084,0 days 00:29:55.321242,0.1,256,3,432,0.0001,COMPLETE
13,0.003287571463403083,2025-07-08 21:53:25.464990,2025-07-08 22:22:39.570205,0 days 00:29:14.105215,0.1,256,3,432,0.0001,COMPLETE
14,0.003287571463403083,2025-07-08 22:22:39.588948,2025-07-08 22:52:52.773066,0 days 00:30:13.184118,0.1,256,3,432,0.0001,COMPLETE
15,0.004369832159001646,2025-07-08 22:52:52.793096,2025-07-08 23:18:51.320116,0 days 00:25:58.527020,0.2,256,3,864,0.0001,COMPLETE
16,0.005986318125212427,2025-07-08 23:18:51.340202,2025-07-08 23:34:29.922903,0 days 00:15:38.582701,0.4,256,4,1008,1e-05,COMPLETE
17,0.0054220661567895,2025-07-08 23:34:29.945986,2025-07-08 23:41:28.551278,0 days 00:06:58.605292,0.3,32,3,288,1e-05,COMPLETE
18,0.004735731316922666,2025-07-08 23:41:28.576433,2025-07-08 23:44:58.987566,0 days 00:03:30.411133,0.1,64,3,720,0.0001,COMPLETE
19,0.003287571463403083,2025-07-08 23:44:59.001898,2025-07-09 00:18:19.125992,0 days 00:33:20.124094,0.1,256,3,432,0.0001,COMPLETE
20,0.0031078361076015302,2025-07-09 00:18:19.152890,2025-07-09 00:31:24.796149,0 days 00:13:05.643259,0.1,128,4,432,1e-05,COMPLETE
