trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.073445186,0.07338751098878113,0.09180154,0.09171331294099469,-0.19045448303222656,-0.18816742049122026,-0.07344518601894379
task0,test_task0,0,0,0.046181146,0.04609372817606622,0.05303924,0.052968451322757036,-3.469456195831299,-3.4575336230415754,-0.046181146055459976
task0,test_task1,0,1,0.05212137,0.052117517540014376,0.061594557,0.06154775342388935,-4.86492919921875,-4.8560194238852725,-0.052121371030807495
task0,test_task2,0,2,0.15861283,0.1585021391456563,0.16168071,0.16151761215997887,-81.3250961303711,-81.15907874219049,-0.15861283242702484
task1,full_test,1,-1,0.060809135,0.06082178358567261,0.07549803,0.07548501062529635,0.19483649730682373,0.1951141035264683,-0.06080913543701172
task1,test_task0,1,0,0.021363966,0.021325761893237562,0.025626421,0.025582630200686764,-0.04336440563201904,-0.039801556680997274,-0.021363966166973114
task1,test_task1,1,1,0.07723474,0.07731585131466817,0.08016227,0.08019331994141102,-8.93386173248291,-8.941558781976244,-0.07723473757505417
task1,test_task2,1,2,0.12658101,0.12664938407848786,0.12745287,0.12745217326573774,-50.15816879272461,-50.1576139720174,-0.12658101320266724
task2,full_test,2,-1,0.07602424,0.075902725481647,0.08013995,0.07983581795586313,0.09278339147567749,0.09965608245307367,-0.07602424174547195
task2,test_task0,2,0,0.06737419,0.06727607072521403,0.0704835,0.07021757533937802,-6.89286994934082,-6.833425814802979,-0.06737419217824936
task2,test_task1,2,1,0.06656045,0.06636525647516721,0.06929398,0.06872238443858616,-6.422823905944824,-6.300868689215644,-0.06656044721603394
task2,test_task2,2,2,0.10537497,0.10521835690142453,0.106901884,0.1066945090689987,-34.990386962890625,-34.85088894890011,-0.10537496954202652
