trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.08261233,0.08259896384896359,0.10539412,0.10534237444538487,-0.5690820217132568,-0.5675416285700978,-0.08261232823133469
task0,test_task0,0,0,0.029095922,0.02909881404900742,0.029758492,0.029732164020422853,-32.19527816772461,-32.13656575811894,-0.02909592166543007
task0,test_task1,0,1,0.0777316,0.07774664039676908,0.079824544,0.07977746674458785,-12.490729331970215,-12.474820818847911,-0.07773160189390182
task0,test_task2,0,2,0.26696062,0.26433882267284925,0.27813,0.27521363098925167,-103.03527069091797,-100.86495680728852,-0.26696062088012695
task1,full_test,1,-1,0.052804876,0.052752429729864395,0.06696419,0.06683787261657748,0.36657077074050903,0.3689582212403727,-0.05280487611889839
task1,test_task0,1,0,0.025483388,0.02527009143787781,0.026474811,0.02633879551934683,-25.273635864257812,-25.00436648165901,-0.025483388453722
task1,test_task1,1,1,0.06325771,0.06327073831775953,0.065501556,0.0654785220764764,-8.083762168884277,-8.077374481331491,-0.06325770914554596
task1,test_task2,1,2,0.03179391,0.02991445784740646,0.043548487,0.041499341765369444,-1.5505337715148926,-1.3161535176453514,-0.03179391101002693
task2,full_test,2,-1,0.07728889,0.07722812721935628,0.103541374,0.10340695973912027,-0.5144004821777344,-0.5104710845794311,-0.07728888839483261
task2,test_task0,2,0,0.02720747,0.02720911950708852,0.029281458,0.028650629589803227,-31.13955307006836,-29.7696670181226,-0.027207469567656517
task2,test_task1,2,1,0.07324071,0.07324737227263758,0.07690384,0.07677983821497485,-11.521563529968262,-11.481216053472929,-0.07324071228504181
task2,test_task2,2,2,0.105027914,0.10495036898077775,0.10786943,0.10719838522294509,-14.648824691772461,-14.454729634950853,-0.10502791404724121
