trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.073445186,0.07338751098878113,0.09180154,0.09171331294099469,-0.19045448303222656,-0.18816742049122026,-0.07344518601894379
task0,test_task0,0,0,0.046181146,0.04609372817606622,0.05303924,0.052968451322757036,-3.469456195831299,-3.4575336230415754,-0.046181146055459976
task0,test_task1,0,1,0.05212137,0.052117517540014376,0.061594557,0.06154775342388935,-4.86492919921875,-4.8560194238852725,-0.052121371030807495
task0,test_task2,0,2,0.15861283,0.1585021391456563,0.16168071,0.16151761215997887,-81.3250961303711,-81.15907874219049,-0.15861283242702484
task1,full_test,1,-1,0.05692518,0.056911976656139694,0.07293454,0.07291361865252997,0.24858582019805908,0.2490168693320456,-0.05692518129944801
task1,test_task0,1,0,0.020636521,0.02057988697024509,0.024911543,0.024818793048427334,0.014035344123840332,0.021363538458020637,-0.02063652127981186
task1,test_task1,1,1,0.061377436,0.06133474631068996,0.065967746,0.06592482278954251,-5.727309703826904,-5.718557528721461,-0.06137743592262268
task1,test_task2,1,2,0.12942688,0.1295315127776567,0.13066311,0.13070067091632828,-52.76774215698242,-52.798655688321105,-0.12942688167095184
task2,full_test,2,-1,0.05219847,0.052189184199663,0.06350907,0.06345100490471023,0.4302499294281006,0.43129128202302125,-0.05219846963882446
task2,test_task0,2,0,0.026274145,0.02624333328686382,0.032170534,0.03213885572221922,-0.6442831754684448,-0.6410465372074747,-0.026274144649505615
task2,test_task1,2,1,0.085547075,0.08568151085878627,0.08774338,0.08776792336922755,-10.901639938354492,-10.908299363085867,-0.08554707467556
task2,test_task2,2,2,0.058241405,0.058090739359530755,0.06848362,0.06826577304716856,-13.770296096801758,-13.676476889376747,-0.058241404592990875
