number,values_0,params_lambda0
0,0.040947139263153076,0.003148911647956862
1,0.03412127122282982,0.6351221010640696
2,0.06900026649236679,0.08471801418819976
3,0.0519840307533741,0.024810409748678097
4,0.056729987263679504,0.00042079886696066364
5,0.023282214999198914,0.0004207053950287938
6,0.04898880794644356,0.0001707396743152812
7,0.04833373427391052,0.29154431891537513
8,0.07803226262331009,0.02537815508265665
9,0.027571042999625206,0.06796578090758151
10,0.13504694402217865,0.0017594678649531816
11,0.018811693415045738,0.0032734083240035885
12,0.13489344716072083,0.001300842182800919
13,0.05910790339112282,0.005224988903767136
14,0.08045148849487305,0.0001130908582938295
15,0.03281516954302788,0.0005001461176511254
16,0.07997284084558487,0.0005784889408841474
17,0.07471073418855667,0.010888310939289584
18,0.018890196457505226,0.0012439629433720193
19,0.041477154940366745,0.006102808442371535
20,0.036694955080747604,0.0015723217696714815
21,0.09443288296461105,0.00024469043195074155
22,0.06324806064367294,0.0008355326741692177
23,0.024092620238661766,0.003469212300862185
24,0.034833233803510666,0.0003238069807040433
25,0.041809629648923874,0.011592428668218762
26,0.06728382408618927,0.0010998406342676032
27,0.038804586976766586,0.0028336084229145316
28,0.07421062141656876,0.00010648456352249221
29,0.02520011179149151,0.0031600215407506377
30,0.018782375380396843,0.0008207686165798013
31,0.05441686138510704,0.0007888846734076664
32,0.0665825754404068,0.0002393208260885456
33,0.025020234286785126,0.002139285941191982
34,0.020354067906737328,0.005343467026642358
35,0.046869754791259766,0.018454270713623527
36,0.02559342049062252,0.005767662133907388
37,0.04652555659413338,0.04959713565737133
38,0.048529356718063354,0.24433433117837564
39,0.03225885331630707,0.0075869572202530095
40,0.01953323744237423,0.9941450502972558
41,0.04284708574414253,0.668686891316615
42,0.039107780903577805,0.37362289107459734
43,0.02405925653874874,0.01716941869141632
44,0.050489265471696854,0.12818622441807098
45,0.05745552107691765,0.03790484639685637
46,0.02491067349910736,0.0036102995119671765
47,0.021224185824394226,0.0022235889397438906
48,0.05967250093817711,0.0014898558685647967
49,0.041590411216020584,0.9800092723045969
