trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.073445186,0.07338751098878113,0.09180154,0.09171331294099469,-0.19045448303222656,-0.18816742049122026,-0.07344518601894379
task0,test_task0,0,0,0.046181146,0.04609372817606622,0.05303924,0.052968451322757036,-3.469456195831299,-3.4575336230415754,-0.046181146055459976
task0,test_task1,0,1,0.05212137,0.052117517540014376,0.061594557,0.06154775342388935,-4.86492919921875,-4.8560194238852725,-0.052121371030807495
task0,test_task2,0,2,0.15861283,0.1585021391456563,0.16168071,0.16151761215997887,-81.3250961303711,-81.15907874219049,-0.15861283242702484
task1,full_test,1,-1,0.07338277,0.07332602264848437,0.09169484,0.09160760210992563,-0.1876887083053589,-0.18542998193402793,-0.07338277250528336
task1,test_task0,1,0,0.046219226,0.04613375210757319,0.053071,0.0530015066229282,-3.4748101234436035,-3.4630988636359596,-0.046219225972890854
task1,test_task1,1,1,0.0519885,0.051984633803790335,0.06141088,0.06136462580320944,-4.830003261566162,-4.821223563761492,-0.051988501101732254
task1,test_task2,1,2,0.15847121,0.15836160559225493,0.16150878,0.16134732598935944,-81.15010070800781,-80.98593131049377,-0.1584712117910385
task2,full_test,2,-1,0.07317187,0.07311803526397971,0.09124506,0.0911611531876101,-0.17606580257415771,-0.17390376976264088,-0.07317186892032623
task2,test_task0,2,0,0.0466885,0.04661080242798106,0.053521737,0.05345721985793195,-3.551143169403076,-3.54017731588808,-0.0466885007917881
task2,test_task1,2,1,0.05121459,0.051209670398303,0.060502492,0.06045780858054603,-4.658803939819336,-4.650448234342074,-0.051214590668678284
task2,test_task2,2,2,0.15766932,0.15756338248232596,0.16060977,0.1604537620742775,-80.23809051513672,-80.08034693592607,-0.1576693207025528
