trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.04661484,0.04641327093411435,0.06285467,0.06260815956502079,0.44193094968795776,0.44629970948791764,-0.046614840626716614
task1,test_task0,1,0,0.017693521,0.017697281794116757,0.018544873,0.018543309704182283,-11.891462326049805,-11.889288965009174,-0.017693521454930305
task1,test_task1,1,1,0.046526086,0.046469954714684805,0.050172705,0.05006470522052721,-4.3296356201171875,-4.306715956017791,-0.04652608558535576
task1,test_task2,1,2,0.057367694,0.05713152412068629,0.06767842,0.0669614335669424,-5.160065650939941,-5.030237411194547,-0.05736769363284111
task2,full_test,2,-1,0.09541985,0.09542740863508818,0.123304315,0.12327692121650351,-1.147679328918457,-1.1467251071402877,-0.09541984647512436
task2,test_task0,2,0,0.038325775,0.03832954174028615,0.038737286,0.03873614637125071,-55.24874496459961,-55.24543538757666,-0.038325775414705276
task2,test_task1,2,1,0.08955712,0.08964902289079739,0.09366772,0.09367322630241631,-17.57558250427246,-17.577765330562816,-0.08955711871385574
task2,test_task2,2,2,0.0818859,0.08182133351876819,0.08683724,0.08638907682724532,-9.141378402709961,-9.036969193583685,-0.08188589662313461
