number,values_0,params_epsilon,params_lambda0
0,0.019637634977698326,0.07969454818643935,0.13292918943162169
1,0.01785212941467762,0.015751320499779727,1.5702970884055387
2,0.10826360434293747,0.002051110418843397,0.02938027938703535
3,0.03549612686038017,0.05399484409787434,0.014936568554617643
4,0.021302947774529457,0.02607024758370768,0.6358358856676253
5,0.017863649874925613,0.08706020878304858,0.011527987128232402
6,0.025364650413393974,0.0026587543983272706,3.142880890840109
7,0.01597834937274456,0.002327067708383781,0.035113563139704075
8,0.023636244237422943,0.01120760621186057,0.08179499475211674
9,0.04555873945355415,0.0038234752246751854,0.19762189340280073
10,0.02748042345046997,0.0010280029617905616,0.04196203337603126
11,0.03611094132065773,0.01158813397370297,1.205314687768485
12,0.021413177251815796,0.004875065452823015,8.446167420390536
13,0.04686319828033447,0.026847260936519547,0.4674692072777469
14,0.01362389326095581,0.005743921379695764,1.7138890273524043
15,0.03149489685893059,0.006523041476282559,6.084591488841322
16,0.019144298508763313,0.0013137832068518605,0.2883642938894573
17,0.019431328400969505,0.0022279086362052667,1.6598511811147398
18,0.015459372662007809,0.006669313252643101,0.06284452351261977
19,0.017544088885188103,0.005959206131645758,0.7726930083976549
20,0.019052334129810333,0.008588044993462964,0.08414443347060573
21,0.018180357292294502,0.00353972845105616,0.030810437109729263
22,0.035391513258218765,0.0015588337066854074,0.1097674316759364
23,0.025579296052455902,0.003420446997728534,0.05753679540850442
24,0.031378183513879776,0.01919021861029622,0.020252438964921935
25,0.011159227229654789,0.008300526070770448,0.20624835931819063
26,0.014375638216733932,0.0074754454133830585,0.30952090692393486
27,0.0197860486805439,0.008552680286532416,0.29774914640275263
28,0.0454123318195343,0.014918905042424681,3.1805519723096096
29,0.028965989127755165,0.036104826001814146,0.5159745525500146
