number,values_0,params_epsilon,params_lambda0
0,0.09524504095315933,0.0071144760093434225,0.13292918943162169
1,0.07114758342504501,0.0006251373574521745,1.5702970884055387
2,0.06163942813873291,2.9375384576328295e-05,0.02938027938703535
3,0.01788189820945263,0.003967605077052989,0.014936568554617643
4,0.022987432777881622,0.001331121608073689,0.6358358856676253
5,0.02631825953722,0.008123245085588688,0.011527987128232402
6,0.049701884388923645,4.335281794951564e-05,3.142880890840109
7,0.051734548062086105,3.5498788321965036e-05,0.035113563139704075
8,0.03253498300909996,0.00037520558551242813,0.08179499475211674
9,0.029753295704722404,7.476312062252303e-05,0.19762189340280073
10,0.027580680325627327,0.0021448185533726456,6.8455702672729215
11,0.0242399200797081,0.001891482357327301,0.5919616605462201
12,0.021237703040242195,0.0015834160151554557,0.580236135262355
13,0.10791719704866409,0.00015043838978395774,0.43833231924430044
14,0.05656552314758301,1.095292710677685e-05,1.7138890273524043
15,0.04368937388062477,0.00406786241776069,0.05808099735190645
16,0.06667530536651611,0.0007809508463636586,0.011759422175118411
17,0.04841674491763115,0.0030821048899197625,0.26190393283008917
18,0.033345047384500504,0.0009749013691302959,1.1740085777673122
19,0.08964529633522034,0.0002677210122393216,4.559407239021484
20,0.05435189604759216,0.004346774060595467,0.12223842901587077
21,0.0376032218337059,0.0013315292307618303,0.6717715238348039
22,0.05105423554778099,0.00042131204933262026,0.9255770100679337
23,0.013557718135416508,0.0016100930675442698,0.3329947688800971
24,0.020998366177082062,0.009580104976783216,0.3448440709541983
25,0.039697181433439255,0.008785047353385107,0.24671597256892885
26,0.04312987998127937,0.004988743324022604,0.32088709123694303
27,0.016845880076289177,0.00994153577838724,0.020402357647842737
28,0.056973155587911606,0.002900594284082487,0.0197060559789741
29,0.03983098268508911,0.00499231933846792,0.056331362631497385
30,0.029295967891812325,0.0059105978726810724,0.022905119723392136
31,0.10073355585336685,0.009758042956930654,0.10923600409011626
32,0.037926655262708664,0.0029270178004129313,0.015658703693737442
33,0.12832632660865784,0.007491347898449847,0.041804887898927674
34,0.03224913403391838,0.0030709588550342096,0.1901768913771908
35,0.023528987541794777,0.0057543708548200975,0.38819047006387786
36,0.029640965163707733,0.009001493974481146,0.08029943487512729
37,0.04619617387652397,0.002227633560254472,0.010184702082450642
38,0.05724482610821724,0.0010176002130984486,2.082172556458612
39,0.07068391889333725,0.0037927099025923754,0.02587020011893791
40,0.029252061620354652,0.0065519628823074464,0.18435327318845698
41,0.06415791064500809,0.0020175997333124075,0.5379381559698359
42,0.04094861075282097,0.0015636162797650855,1.0375092339735195
43,0.03953911364078522,0.0004842016009062037,0.7371142334567317
44,0.09713440388441086,0.0064636616633356085,0.3965430271838507
45,0.028226196765899658,0.000678054904367135,0.15896173027803756
46,0.017479591071605682,0.00015232856539541863,0.04109376103652622
47,0.018199820071458817,0.00011752003418812835,0.03715428256924817
48,0.0298757404088974,0.00010926620156915561,0.041917910233881875
49,0.0755540132522583,0.00024488480909301905,0.015431547096611514
