trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.07618212,0.07612209771065652,0.098253705,0.09817402405555913,-0.363674521446228,-0.36146368558400477,-0.07618211954832077
task0,test_task0,0,0,0.027281232,0.027289735994617346,0.0279073,0.027905893711063768,-28.19376564025879,-28.19082222945437,-0.027281232178211212
task0,test_task1,0,1,0.040749665,0.04067599705353286,0.05188456,0.05168817583767287,-4.699527740478516,-4.656462686516072,-0.04074966534972191
task0,test_task2,0,2,0.27351967,0.27350212419551984,0.2761435,0.27604802670912426,-101.55445861816406,-101.48356373518499,-0.2735196650028229
task1,full_test,1,-1,0.07423042,0.0742637782116912,0.09632349,0.0963599817959904,-0.3106215000152588,-0.3116147595050367,-0.07423041760921478
task1,test_task0,1,0,0.07769931,0.07769038962468373,0.08198235,0.08142883738681984,-250.93887329101562,-247.54837316525143,-0.07769931107759476
task1,test_task1,1,1,0.059893534,0.06000635324469503,0.062936425,0.06302433674901109,-7.386228561401367,-7.40967250669817,-0.05989353358745575
task1,test_task2,1,2,0.055082217,0.05464163490558333,0.06655752,0.06580787022559362,-4.957706928253174,-4.824257887619795,-0.05508221685886383
task2,full_test,2,-1,0.024434099,0.02439756712163336,0.02960364,0.029496862294530038,0.8762049674987793,0.8770964243799587,-0.024434098973870277
task2,test_task0,2,0,0.03373197,0.03373083406531156,0.03535183,0.03535940676789825,-45.84661865234375,-45.866702382399204,-0.03373197093605995
task2,test_task1,2,1,0.033393018,0.03332182278430532,0.039114743,0.039041091509571614,-2.2392427921295166,-2.227055376510054,-0.0333930179476738
task2,test_task2,2,2,0.019683221,0.01940209549294749,0.023374796,0.022685094736907208,0.26518064737319946,0.307904349931992,-0.019683221355080605
