trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.03929145,0.03934596933728867,0.047958676,0.047965982158460894,0.6751018762588501,0.6750028446402674,-0.03929144889116287
task0,test_task0,0,0,0.025116166,0.025116840245400198,0.025641281,0.025641329444451424,-23.645286560058594,-23.64538085317443,-0.025116166099905968
task0,test_task1,0,1,0.059988964,0.060143174860517644,0.061653707,0.061712739211907924,-7.047869682312012,-7.063287833264296,-0.05998896434903145
task0,test_task2,0,2,0.039382488,0.03805880974875735,0.047012057,0.04588958871133074,-1.9723739624023438,-1.832130464888261,-0.039382487535476685
task1,full_test,1,-1,0.038059354,0.03810849554710415,0.043511007,0.04333641788639456,0.7325693964958191,0.7347112109026321,-0.038059353828430176
task1,test_task0,1,0,0.032127332,0.032127293087386016,0.032541614,0.03253930998731354,-38.6947135925293,-38.68908942614562,-0.03212733194231987
task1,test_task1,1,1,0.07702781,0.0770973599453931,0.078238875,0.0782847417604846,-11.960082054138184,-11.975280711047382,-0.0770278126001358
task1,test_task2,1,2,0.03935006,0.03817725073744795,0.04578045,0.04411569160540206,-1.8186752796173096,-1.6174060939692607,-0.039350058883428574
task2,full_test,2,-1,0.031401567,0.031166041013729197,0.041555725,0.04102352605252522,0.756064772605896,0.7622728144712168,-0.03140156716108322
task2,test_task0,2,0,0.024595879,0.024595558131537576,0.025131978,0.02513147116287304,-22.67597007751465,-22.675016008510667,-0.024595879018306732
task2,test_task1,2,1,0.011832696,0.010632104981139959,0.016199883,0.013039232850243084,0.44436925649642944,0.6400297601329628,-0.01183269638568163
task2,test_task2,2,2,0.022904376,0.021951021096085797,0.040071953,0.038925715744714415,-1.1595635414123535,-1.0377839569752383,-0.022904375568032265
