trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.046715233,0.04595437731461245,0.058010124,0.057006893569761484,0.5246423482894897,0.540941927812213,-0.046715233474969864
task1,test_task0,1,0,0.0249588,0.024955337671978065,0.025501719,0.025479690891889527,-23.377735137939453,-23.335639691506433,-0.02495880052447319
task1,test_task1,1,1,0.041949816,0.04117884335441808,0.046881393,0.04593467928416973,-3.6533265113830566,-3.4672873919684672,-0.041949816048145294
task1,test_task2,1,2,0.04645663,0.04569303516379399,0.052589476,0.0514331964018032,-2.7194833755493164,-2.557721557036882,-0.046456631273031235
task2,full_test,2,-1,0.061073024,0.06085696987305219,0.07363873,0.07331694397649463,0.234005868434906,0.24068568931142742,-0.061073023825883865
task2,test_task0,2,0,0.0053298296,0.0052629716077229214,0.006397377,0.006290153500072001,-0.5341165065765381,-0.4831222290046424,-0.005329829640686512
task2,test_task1,2,1,0.017490355,0.016803313804882845,0.022849757,0.021980502932916247,-0.105415940284729,-0.022910805162552172,-0.017490355297923088
task2,test_task2,2,2,0.122348405,0.12232052034033172,0.12873812,0.1277518809302936,-21.289447784423828,-20.94924222460171,-0.12234840542078018
