trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.047610104,0.046788016609023146,0.05787952,0.05687039857237059,0.5267804861068726,0.5431375961675433,-0.04761010408401489
task1,test_task0,1,0,0.020166093,0.020163498275090994,0.020871298,0.020848038751428332,-15.328765869140625,-15.292392639798749,-0.020166093483567238
task1,test_task1,1,1,0.04101584,0.04022737850959847,0.046090357,0.04514093814768886,-3.497619152069092,-3.314233799253665,-0.04101584106683731
task1,test_task2,1,2,0.04855874,0.048546768156010126,0.05463822,0.05435648574657532,-3.0149307250976562,-2.973632206711473,-0.04855874180793762
task2,full_test,2,-1,0.06379783,0.06345272687185771,0.07490695,0.07447305547677897,0.20739436149597168,0.21655011455737594,-0.06379783153533936
task2,test_task0,2,0,0.005825076,0.005597666032018789,0.007240494,0.0068876138619819805,-0.9651279449462891,-0.7782468147970001,-0.005825075786560774
task2,test_task1,2,1,0.023284141,0.02210803607531041,0.02800118,0.026615368838373142,-0.660027027130127,-0.49977977868659007,-0.02328414097428322
task2,test_task2,2,2,0.11660172,0.11659831547586118,0.12521204,0.12413133648805932,-20.08517074584961,-19.72276908894753,-0.11660172045230865
