trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.05363428,0.0524321598540509,0.06530361,0.06396725694811935,0.3975968360900879,0.4219993433094624,-0.05363427847623825
task1,test_task0,1,0,0.036215656,0.03621732519753352,0.036673114,0.036660195578690394,-49.41386795043945,-49.3783584001135,-0.036215655505657196
task1,test_task1,1,1,0.043465424,0.04262577500234415,0.04910422,0.048041041193490217,-4.105051517486572,-3.8863811304015368,-0.043465424329042435
task1,test_task2,1,2,0.041090645,0.04065776082226688,0.046814132,0.045955449653394286,-1.9473984241485596,-1.8402656710532832,-0.041090644896030426
task2,full_test,2,-1,0.06467432,0.06382190507124626,0.07733217,0.07619340876224971,0.15524011850357056,0.1799361198571664,-0.06467431783676147
task2,test_task0,2,0,0.0066515356,0.00657343884078601,0.008041167,0.007942145769413407,-1.4237768650054932,-1.3644501612233113,-0.006651535630226135
task2,test_task1,2,1,0.022820015,0.021800176286756467,0.03036533,0.027993144920120644,-0.9521739482879639,-0.6590745473721158,-0.022820014506578445
task2,test_task2,2,2,0.11064608,0.11063593734406439,0.12056102,0.119580479520262,-18.547840118408203,-18.231161113434496,-0.1106460765004158
