trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.053407956,0.05245855181811971,0.06335706,0.06222782719011841,0.43297404050827026,0.4530065189795911,-0.053407955914735794
task1,test_task0,1,0,0.012008366,0.011999157885290644,0.0131459525,0.013105922659756679,-5.477964401245117,-5.438573506048871,-0.0120083661749959
task1,test_task1,1,1,0.042661298,0.0419185444851006,0.047606602,0.04662536543659581,-3.798405170440674,-3.602640059844699,-0.04266129806637764
task1,test_task2,1,2,0.05310222,0.05286439568843308,0.061195698,0.06066463573934044,-4.03647518157959,-3.9494405657631217,-0.053102221339941025
task2,full_test,2,-1,0.05901272,0.05856963216937137,0.07133601,0.07079337163575349,0.2811628580093384,0.29205736173850916,-0.05901271849870682
task2,test_task0,2,0,0.0074917786,0.0074512617042820075,0.008960817,0.008918279889243475,-2.0098836421966553,-1.981375324410243,-0.007491778582334518
task2,test_task1,2,1,0.016184937,0.015020893245413301,0.021626381,0.01986476450994764,0.009783267974853516,0.1645328898271482,-0.016184937208890915
task2,test_task2,2,2,0.12540819,0.12523596404271392,0.13338189,0.1324994740053153,-22.926469802856445,-22.610937602989825,-0.12540818750858307
