trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.035946086,0.0350102266309152,0.04437697,0.04211643721482694,0.7218185663223267,0.7494374688828556,-0.035946086049079895
task1,test_task0,1,0,0.025189169,0.024682385645438905,0.02662028,0.026061218390340805,-25.56315803527832,-24.459149293815177,-0.025189168751239777
task1,test_task1,1,1,0.055113953,0.0551960187932543,0.057213925,0.057203451210263816,-5.930522441864014,-5.927985638571312,-0.05511395260691643
task1,test_task2,1,2,0.041856542,0.04131103105904231,0.050955333,0.04983195303939216,-2.4919192790985107,-2.339648367562006,-0.041856542229652405
task2,full_test,2,-1,0.065806024,0.06582431593918461,0.08271729,0.08251903695883236,0.03349190950393677,0.03811937187656633,-0.06580602377653122
task2,test_task0,2,0,0.03336572,0.03320597917134287,0.047592614,0.04155569689615459,-83.90506744384766,-63.731488900989945,-0.03336571902036667
task2,test_task1,2,1,0.077041514,0.0770493868898597,0.07998039,0.07994380147466108,-12.54345703125,-12.53106896370352,-0.07704151421785355
task2,test_task2,2,2,0.16840354,0.16868395983148093,0.18094029,0.18011972387897104,-43.03068542480469,-42.6322360463254,-0.1684035360813141
