trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.070823655,0.0702323935021114,0.08142141,0.08053041925612756,0.06353801488876343,0.08392127591133491,-0.07082365453243256
task0,test_task0,0,0,0.032567434,0.032569221516925935,0.03315037,0.03311037341770987,-40.19374465942383,-40.09439717995444,-0.03256743401288986
task0,test_task1,0,1,0.09340248,0.09338283768737392,0.096716926,0.09651348227895905,-18.804662704467773,-18.721433833235967,-0.09340248256921768
task0,test_task2,0,2,0.040467992,0.040510440739306694,0.045384526,0.045404440218890924,-1.770132303237915,-1.7725639783149827,-0.040467992424964905
task1,full_test,1,-1,0.0518975,0.05141928092607798,0.06527941,0.06450763771673079,0.3980432152748108,0.41219245946259475,-0.051897499710321426
task1,test_task0,1,0,0.0057004904,0.005289756956790863,0.007132353,0.006417479839965959,-0.9068654775619507,-0.5437731481877042,-0.005700490437448025
task1,test_task1,1,1,0.04935782,0.049247843373120874,0.052190643,0.05174881094405119,-4.766971588134766,-4.669741599351946,-0.049357820302248
task1,test_task2,1,2,0.075721435,0.07572236887581937,0.08047508,0.08047591963848873,-7.70979118347168,-7.709973258263476,-0.07572143524885178
task2,full_test,2,-1,0.03722473,0.036770969098542695,0.048496142,0.04755673846587435,0.6677788496017456,0.6805249101498081,-0.03722472861409187
task2,test_task0,2,0,0.012373267,0.01214315208970604,0.013618301,0.013335572921003494,-5.951848030090332,-5.666191932367805,-0.012373266741633415
task2,test_task1,2,1,0.05104474,0.05068883043413121,0.054911513,0.05427588517038384,-5.38394832611084,-5.2370086393841015,-0.05104473978281021
task2,test_task2,2,2,0.13207795,0.13207840276999183,0.13488229,0.13488049629056953,-23.467792510986328,-23.467141609964788,-0.13207794725894928
