trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.073326066,0.07335005842635471,0.08900626,0.08901419419052206,-0.11906158924102783,-0.11926108934288204,-0.07332606613636017
task0,test_task0,0,0,0.029657114,0.029661102333883367,0.030146666,0.03014700939398832,-33.066932678222656,-33.06770901885216,-0.029657114297151566
task0,test_task1,0,1,0.08469463,0.08473814701521154,0.08595639,0.08596530710824622,-14.642955780029297,-14.646202750204237,-0.08469463139772415
task0,test_task2,0,2,0.05258229,0.05183578294972414,0.06317542,0.062116711063710014,-4.367612838745117,-4.189216981163359,-0.05258229002356529
task1,full_test,1,-1,0.016859531,0.016901476508136986,0.021450197,0.021491888067260323,0.9350056648254395,0.9347527793571904,-0.01685953140258789
task1,test_task0,1,0,0.03652914,0.03523995299381769,0.046892226,0.043336276452232,-81.4244613647461,-69.3975658514778,-0.036529138684272766
task1,test_task1,1,1,0.00865399,0.008628371291775395,0.011503225,0.011433252923454056,0.719842791557312,0.7232407547439009,-0.008653989993035793
task1,test_task2,1,2,0.1655549,0.16541977943977426,0.16977966,0.16934173439774436,-37.76647186279297,-37.566740179651894,-0.16555489599704742
task2,full_test,2,-1,0.045445148,0.045534795086203575,0.047586095,0.04765581449496744,0.6801303625106812,0.679192384189482,-0.04544514790177345
task2,test_task0,2,0,0.04192432,0.04171195072805011,0.04412569,0.04394138035677108,-71.98565673828125,-71.37721163809391,-0.04192432016134262
task2,test_task1,2,1,0.0337833,0.033701967475328394,0.034616686,0.03442599994117681,-1.5370762348175049,-1.5092021040291228,-0.03378330171108246
task2,test_task2,2,2,0.0126856025,0.012680993521293132,0.014164869,0.01423287598980394,0.730157732963562,0.7275603862898663,-0.012685602530837059
