trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.047196496,0.04717081133374844,0.06088769,0.06078983484637411,0.47631287574768066,0.4779948309460118,-0.04719649627804756
task1,test_task0,1,0,0.016650857,0.01581990653978774,0.026044805,0.021064478188379067,-24.42708969116211,-15.632436230962611,-0.016650857403874397
task1,test_task1,1,1,0.04673842,0.046709902057384414,0.049686298,0.049675870772671715,-4.226799011230469,-4.224605375832635,-0.04673841968178749
task1,test_task2,1,2,0.05120291,0.05091608836910049,0.06062429,0.06000653265690684,-3.942859649658203,-3.84263783234199,-0.05120290815830231
task2,full_test,2,-1,0.058855206,0.0588723908808123,0.07500584,0.07498732686683447,0.2053004503250122,0.20569257726300916,-0.05885520577430725
task2,test_task0,2,0,0.005418254,0.005354843853896638,0.008530254,0.00703253222752022,-1.7275853157043457,-0.8538642037052842,-0.005418254062533379
task2,test_task1,2,1,0.047950346,0.04803052245016685,0.049635045,0.049678940995968264,-4.21602201461792,-4.225251210544318,-0.047950346022844315
task2,test_task2,2,2,0.10174989,0.10172085931888422,0.1043477,0.10415202895947909,-13.643693923950195,-13.588827680538765,-0.10174988955259323
