trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.037481762,0.037474193360540614,0.049298786,0.049131414363253606,0.6566908955574036,0.6590180347033158,-0.03748176246881485
task1,test_task0,1,0,0.039007183,0.03655763138649933,0.06206755,0.05645293245178945,-143.40548706054688,-118.46136401504003,-0.03900718316435814
task1,test_task1,1,1,0.028945604,0.028946621632960388,0.033365823,0.03321477925134576,-1.3570361137390137,-1.3357440785958143,-0.02894560433924198
task1,test_task2,1,2,0.06204578,0.06197895790017923,0.071503885,0.07113936000679359,-5.876132011413574,-5.806201974511811,-0.06204577907919884
task2,full_test,2,-1,0.04977788,0.04985004979324619,0.055505652,0.05510721991961783,0.5648015737533569,0.5710270765228969,-0.04977788031101227
task2,test_task0,2,0,0.033845015,0.03386234799177912,0.03480745,0.034791471106261705,-44.41495132446289,-44.37326607139391,-0.03384501487016678
task2,test_task1,2,1,0.00917139,0.008998468693191944,0.01080034,0.010594278532703205,0.7530338764190674,0.7623677997783398,-0.00917138997465372
task2,test_task2,2,2,0.030597102,0.030443313353509437,0.03494964,0.03394632842781656,-0.642745852470398,-0.5497817499426707,-0.030597101897001266
