epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0014131298560656502,0.0014131298560656502,0.0,0.0,0.0007145323802376067,0.0,0.0,0.0,0.0,0.0,0.0001,58.54278540611267
1,0.0008090064056248178,0.0008090064056248178,0.0,0.0,0.001018887811974492,0.0,0.0,0.0,0.0,0.0,0.0001,59.281201124191284
2,0.0006582294446955728,0.0006582294446955728,0.0,0.0,0.0017647827066094171,0.0,0.0,0.0,0.0,0.0,0.0001,58.85640501976013
3,0.0005331344477777799,0.0005331344477777799,0.0,0.0,0.0018741787287904507,0.0,0.0,0.0,0.0,0.0,0.0001,58.907987117767334
4,0.0004891281338934842,0.0004891281338934842,0.0,0.0,0.0017795807144992033,0.0,0.0,0.0,0.0,0.0,0.0001,58.621575355529785
5,0.00042264169884594495,0.00042264169884594495,0.0,0.0,0.002260460102591756,0.0,0.0,0.0,0.0,0.0,0.0001,58.68631863594055
6,0.0006786338173342805,0.0006786338173342805,0.0,0.0,0.0032512708646340615,0.0,0.0,0.0,0.0,0.0,5e-05,59.18385577201843
7,0.0019530025401912814,0.0019530025401912814,0.0,0.0,0.0008653893845129671,0.0,0.0,0.0,0.0,0.0,5e-05,58.9503378868103
8,0.0017245164594644371,0.0017245164594644371,0.0,0.0,0.00104099043529389,0.0,0.0,0.0,0.0,0.0,5e-05,58.14671754837036
9,0.0012617591753320118,0.0012617591753320118,0.0,0.0,0.00047569030370884894,0.0,0.0,0.0,0.0,0.0,5e-05,58.523277044296265
10,0.0008399737355469345,0.0008399737355469345,0.0,0.0,0.0005365701668955201,0.0,0.0,0.0,0.0,0.0,5e-05,61.33771753311157
11,0.0007739838856384825,0.0007739838856384825,0.0,0.0,0.0005130605974984604,0.0,0.0,0.0,0.0,0.0,5e-05,59.55634880065918
12,0.0007007904848338646,0.0007007904848338646,0.0,0.0,0.00045394922113784527,0.0,0.0,0.0,0.0,0.0,5e-05,59.313942193984985
13,0.0006334180813552492,0.0006334180813552492,0.0,0.0,0.0005859631892630737,0.0,0.0,0.0,0.0,0.0,5e-05,60.51295065879822
14,0.0006805194333309524,0.0006805194333309524,0.0,0.0,0.00036013496626093185,0.0,0.0,0.0,0.0,0.0,5e-05,74.76727724075317
15,0.000599293482071396,0.000599293482071396,0.0,0.0,0.00043917418965099144,0.0,0.0,0.0,0.0,0.0,5e-05,94.23267364501953
16,0.0005391294714235716,0.0005391294714235716,0.0,0.0,0.00035214733132634687,0.0,0.0,0.0,0.0,0.0,5e-05,95.0444405078888
17,0.0005378134369000684,0.0005378134369000684,0.0,0.0,0.0006510196742474056,0.0,0.0,0.0,0.0,0.0,5e-05,95.72600412368774
18,0.0005751928633517053,0.0005751928633517053,0.0,0.0,0.0005903849767584543,0.0,0.0,0.0,0.0,0.0,5e-05,121.44061875343323
19,0.0004765547414930028,0.0004765547414930028,0.0,0.0,0.0005202168769843384,0.0,0.0,0.0,0.0,0.0,5e-05,139.6200726032257
20,0.00046336011913999654,0.00046336011913999654,0.0,0.0,0.0007672373584351974,0.0,0.0,0.0,0.0,0.0,5e-05,130.31917428970337
21,0.00043614903258141114,0.00043614903258141114,0.0,0.0,0.0014583969411775177,0.0,0.0,0.0,0.0,0.0,5e-05,129.03999710083008
22,0.0007241660042811092,0.0007241660042811092,0.0,0.0,0.0004347594480317619,0.0,0.0,0.0,0.0,0.0,2.5e-05,127.31846976280212
23,0.0004585747580905664,0.0004585747580905664,0.0,0.0,0.0003662732302103315,0.0,0.0,0.0,0.0,0.0,2.5e-05,123.76090908050537
24,0.0003820020928635006,0.0003820020928635006,0.0,0.0,0.0007232466513036672,0.0,0.0,0.0,0.0,0.0,2.5e-05,126.84564995765686
25,0.00034479663145648185,0.00034479663145648185,0.0,0.0,0.0005743558578496029,0.0,0.0,0.0,0.0,0.0,2.5e-05,126.17214512825012
26,0.0003117233890690382,0.0003117233890690382,0.0,0.0,0.0007230217401986174,0.0,0.0,0.0,0.0,0.0,2.5e-05,131.6391201019287
27,0.00031396014463744857,0.00031396014463744857,0.0,0.0,0.0006464677337238826,0.0,0.0,0.0,0.0,0.0,2.5e-05,131.83825492858887
28,0.0003084497555895023,0.0003084497555895023,0.0,0.0,0.0005173196603111784,0.0,0.0,0.0,0.0,0.0,1.25e-05,133.77795815467834
29,0.00024815908583244924,0.00024815908583244924,0.0,0.0,0.0008382209210135344,0.0,0.0,0.0,0.0,0.0,1.25e-05,135.21725797653198
30,0.00024049559038542443,0.00024049559038542443,0.0,0.0,0.0010266996240120903,0.0,0.0,0.0,0.0,0.0,1.25e-05,132.3375940322876
31,0.00022812926737174409,0.00022812926737174409,0.0,0.0,0.001016208755702456,0.0,0.0,0.0,0.0,0.0,1.25e-05,133.66499304771423
32,0.00022108778773716173,0.00022108778773716173,0.0,0.0,0.0009082383583775847,0.0,0.0,0.0,0.0,0.0,1.25e-05,133.83171558380127
33,0.00022369337535537,0.00022369337535537,0.0,0.0,0.0013711878021535142,0.0,0.0,0.0,0.0,0.0,1.25e-05,130.74499654769897
34,0.00021394585518836313,0.00021394585518836313,0.0,0.0,0.0015343331463936129,0.0,0.0,0.0,0.0,0.0,6.25e-06,135.5747036933899
35,0.00019795460119915656,0.00019795460119915656,0.0,0.0,0.0014644100493973137,0.0,0.0,0.0,0.0,0.0,6.25e-06,126.9652488231659
36,0.00019314519057856392,0.00019314519057856392,0.0,0.0,0.001308336142469757,0.0,0.0,0.0,0.0,0.0,6.25e-06,123.41860699653625
