trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.035644755,0.03571218296746682,0.041834854,0.04190836988611318,0.7527767419815063,0.7519070556657143,-0.03564475476741791
task1,test_task0,1,0,0.04139479,0.04142569355382141,0.04261789,0.04264105835878133,-67.08294677734375,-67.15699077146415,-0.04139478877186775
task1,test_task1,1,1,0.022415075,0.02248035219034138,0.025079401,0.02511689494136847,-0.3316706418991089,-0.33565536747460367,-0.022415075451135635
task1,test_task2,1,2,0.059854895,0.05852701896595938,0.07381642,0.0720120011957853,-6.328091621398926,-5.974204617899528,-0.0598548948764801
task2,full_test,2,-1,0.03882388,0.038902666062871405,0.04537814,0.045423021102962,0.7091250419616699,0.7085494303974798,-0.03882388025522232
task2,test_task0,2,0,0.037181478,0.037236031670287995,0.03832572,0.03833457576323308,-54.05985641479492,-54.08530766992475,-0.03718147799372673
task2,test_task1,2,1,0.026066894,0.025907866998036194,0.027391583,0.02715673488823977,-0.588534951210022,-0.5614123887897158,-0.026066893711686134
task2,test_task2,2,2,0.007785024,0.007698698584424502,0.010478225,0.00968174268107738,0.8523408770561218,0.8739357347798911,-0.007785024121403694
