trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.041374072,0.04128516763490363,0.04980552,0.04934616753753958,0.6495969891548157,0.6560306590001994,-0.041374072432518005
task1,test_task0,1,0,0.036343984,0.03426589192745461,0.054277312,0.050419967993444406,-109.4310302734375,-94.29269025908131,-0.03634398430585861
task1,test_task1,1,1,0.05016334,0.0499163209176167,0.0520806,0.05186814476660191,-4.742678642272949,-4.695920831030189,-0.05016333982348442
task1,test_task2,1,2,0.056358263,0.053343089586250704,0.07327897,0.07090045629762669,-6.221770763397217,-5.7605648871100215,-0.05635826289653778
task2,full_test,2,-1,0.06587339,0.06584524562642041,0.08591235,0.08586702258256058,-0.04261505603790283,-0.04151537335458877,-0.0658733919262886
task2,test_task0,2,0,0.027594557,0.027295628805576146,0.028829005,0.028600266013194146,-30.153995513916016,-29.661585034702355,-0.027594557031989098
task2,test_task1,2,1,0.03516863,0.03515929238571926,0.039829902,0.03975583451970836,-2.3587756156921387,-2.346295305287994,-0.03516862913966179
task2,test_task2,2,2,0.10028217,0.10025226044474124,0.105374366,0.10491374844121466,-13.933268547058105,-13.802999800725855,-0.10028216987848282
