trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.08261233,0.08259896384896359,0.10539412,0.10534237444538487,-0.5690820217132568,-0.5675416285700978,-0.08261232823133469
task0,test_task0,0,0,0.029095922,0.02909881404900742,0.029758492,0.029732164020422853,-32.19527816772461,-32.13656575811894,-0.02909592166543007
task0,test_task1,0,1,0.0777316,0.07774664039676908,0.079824544,0.07977746674458785,-12.490729331970215,-12.474820818847911,-0.07773160189390182
task0,test_task2,0,2,0.26696062,0.26433882267284925,0.27813,0.27521363098925167,-103.03527069091797,-100.86495680728852,-0.26696062088012695
task1,full_test,1,-1,0.025097977,0.025111944361566083,0.029058343,0.029037062378808813,0.8807235956192017,0.8808982256218736,-0.025097977370023727
task1,test_task0,1,0,0.036017735,0.03550857409848266,0.037414,0.036970570479530736,-51.471405029296875,-50.23500238424584,-0.03601773455739021
task1,test_task1,1,1,0.040997025,0.0410437068721712,0.043412402,0.04341288980923152,-2.990158796310425,-2.990248173865115,-0.04099702462553978
task1,test_task2,1,2,0.046728667,0.047520454840861724,0.05239093,0.05296491345379172,-2.691451072692871,-2.772779807304613,-0.04672866687178612
task2,full_test,2,-1,0.022952994,0.022841379128115888,0.030317605,0.030107834932424526,0.870161771774292,0.8719522566131015,-0.02295299433171749
task2,test_task0,2,0,0.037572876,0.03757755851258923,0.04152809,0.04147613061600109,-63.6455078125,-63.483844731203604,-0.03757287561893463
task2,test_task1,2,1,0.012966461,0.012813319955115957,0.015102116,0.014938754212787946,0.5171211957931519,0.5275114599048589,-0.012966460548341274
task2,test_task2,2,2,0.021549376,0.020027643640251027,0.023363478,0.021642190586224526,0.26589202880859375,0.3700771541652136,-0.021549375727772713
