trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.014613999,0.014677637512590585,0.017750878,0.017784370861661347,0.9554905295372009,0.9553223945010992,-0.014613999053835869
task1,test_task0,1,0,0.041067068,0.039886106476409625,0.045313846,0.043448686839516644,-75.96908569335938,-69.76324936816539,-0.04106706753373146
task1,test_task1,1,1,0.01085998,0.01073522330685212,0.012893779,0.012708009681639062,0.6480159759521484,0.6580854442059878,-0.010859980247914791
task1,test_task2,1,2,0.036301874,0.03669660816634638,0.03781387,0.03796248134458624,-0.92303466796875,-0.93818000121096,-0.0363018736243248
task2,full_test,2,-1,0.028327337,0.02841909140564011,0.031306177,0.031372397416853826,0.8615564107894897,0.8609700737654793,-0.02832733653485775
task2,test_task0,2,0,0.038094725,0.03811783663858879,0.038533267,0.038533196095418276,-54.657806396484375,-54.657605966191184,-0.03809472545981407
task2,test_task1,2,1,0.015680961,0.015502357289579811,0.01767029,0.017414103412977135,0.33892619609832764,0.35795605581269263,-0.015680961310863495
task2,test_task2,2,2,0.015004106,0.015240171004358694,0.017163787,0.01746853710325286,0.6038029789924622,0.5896088390045762,-0.015004105865955353
