trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.026840987,0.02693163017378204,0.029327966,0.029291162897265095,0.8784998655319214,0.8788046088426547,-0.02684098668396473
task1,test_task0,1,0,0.1620418,0.15639145856864947,0.18783146,0.16316964338510506,-1321.486083984375,-997.0060760215349,-0.1620417982339859
task1,test_task1,1,1,0.021351898,0.021339037155259036,0.022869362,0.022858434189217118,-0.10731351375579834,-0.10625557204769298,-0.021351898089051247
task1,test_task2,1,2,0.047738258,0.0471562895091305,0.05080085,0.04988823802715443,-2.470777988433838,-2.347196866581971,-0.04773825779557228
task2,full_test,2,-1,0.030183803,0.03023306153684501,0.040482197,0.04050441702969376,0.768505334854126,0.7682511177022562,-0.030183803290128708
task2,test_task0,2,0,0.06398194,0.06401291791442669,0.06468468,0.06468498782055519,-155.84017944335938,-155.8416700588135,-0.06398194283246994
task2,test_task1,2,1,0.019159466,0.01907353556625879,0.022148492,0.022050196273784288,-0.03860604763031006,-0.02940775302271703,-0.0191594660282135
task2,test_task2,2,2,0.051438898,0.05056275664477891,0.06503746,0.06382077032299616,-4.688686370849609,-4.477835784785069,-0.05143889784812927
