trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.023600258,0.023662544444222708,0.027360972,0.0273230533241519,0.8942511081695557,0.8945439898863681,-0.0236002579331398
task1,test_task0,1,0,0.04079742,0.04064619193631033,0.047978286,0.04773999855689498,-85.28670501708984,-84.4317415574024,-0.04079741984605789
task1,test_task1,1,1,0.01612147,0.01621547330721232,0.01808822,0.018092792447305887,0.30728572607040405,0.30693539792199176,-0.01612146943807602
task1,test_task2,1,2,0.049878757,0.05024342265630956,0.054063037,0.05353093038030831,-2.9308438301086426,-2.8538473488735807,-0.04987875744700432
task2,full_test,2,-1,0.028552784,0.028630924908445324,0.032082308,0.03208738669936569,0.8546068072319031,0.8545607678813101,-0.028552783653140068
task2,test_task0,2,0,0.017675456,0.017660243365655585,0.020038376,0.01966722667633845,-14.051488876342773,-13.499088583987735,-0.017675455659627914
task2,test_task1,2,1,0.041391432,0.04132667781290794,0.04222865,0.04203970414918473,-2.7755210399627686,-2.741810745170193,-0.04139143228530884
task2,test_task2,2,2,0.01551672,0.015557608072079449,0.016829519,0.016447509483943884,0.6190848350524902,0.6361811338542762,-0.015516719780862331
