trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.01851372,0.01859400242298261,0.021703124,0.021773982402976663,0.9334639310836792,0.9330287181174689,-0.018513720482587814
task1,test_task0,1,0,0.04486435,0.0448909169754308,0.045969397,0.04599189368289833,-78.21220397949219,-78.28974844806591,-0.04486434906721115
task1,test_task1,1,1,0.005075887,0.005101503957311606,0.005932978,0.005909496304407876,0.9254739880561829,0.9260627239608611,-0.005075886845588684
task1,test_task2,1,2,0.042779792,0.043140367352145804,0.044207618,0.044533469522459165,-1.6283257007598877,-1.6672147743307733,-0.042779792100191116
task2,full_test,2,-1,0.029704183,0.029791559085405858,0.03431388,0.034355532691238776,0.8336769342422485,0.8332728793286097,-0.029704183340072632
task2,test_task0,2,0,0.046035077,0.045917522222610335,0.047519248,0.0474015180186779,-83.64348602294922,-83.22459992197467,-0.046035077422857285
task2,test_task1,2,1,0.015059008,0.01491966804944741,0.01686056,0.01665652659544997,0.3981248140335083,0.4126034372371483,-0.01505900826305151
task2,test_task2,2,2,0.015906177,0.01609772066480245,0.018300831,0.018501416826462124,0.5495707988739014,0.5396428419125757,-0.01590617746114731
