trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.029897885,0.029543563928852545,0.038155753,0.03668876258335544,0.7943480014801025,0.8098575851234302,-0.029897885397076607
task1,test_task0,1,0,0.0199313,0.01991816532049786,0.021414885,0.021318843510551626,-16.190397262573242,-16.036553445158805,-0.01993129961192608
task1,test_task1,1,1,0.02254219,0.021768555997880898,0.026793633,0.025898915323066343,-0.5199373960494995,-0.42012203818649385,-0.022542189806699753
task1,test_task2,1,2,0.05449909,0.0514410007680374,0.092033744,0.07098776360250543,-10.39145278930664,-5.777225149892412,-0.05449908971786499
task2,full_test,2,-1,0.051509097,0.05153948202438381,0.0626907,0.06265337481385648,0.44483882188796997,0.445499662436316,-0.05150909721851349
task2,test_task0,2,0,0.047914777,0.04793831286220053,0.04856613,0.048585523413613274,-87.4140853881836,-87.4847092407428,-0.0479147769510746
task2,test_task1,2,1,0.040975723,0.04106775934844345,0.044916693,0.04487180032612394,-3.271477222442627,-3.262942792563795,-0.040975723415613174
task2,test_task2,2,2,0.060043793,0.059857581428320324,0.07032071,0.06927664419823303,-5.650456428527832,-5.454440611325188,-0.06004379317164421
