trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.03407864,0.03402843885099484,0.040212628,0.03979395065466483,0.7715780735015869,0.7763097830643615,-0.03407863900065422
task1,test_task0,1,0,0.03098662,0.03000855529707836,0.03535683,0.032792748316691316,-45.8598747253418,-39.30974847953835,-0.030986620113253593
task1,test_task1,1,1,0.016886381,0.01426248971626835,0.02003342,0.017494825013600043,0.15028619766235352,0.351989979579285,-0.016886381432414055
task1,test_task2,1,2,0.07546304,0.07548544136573569,0.08006625,0.07938669064143719,-7.62152099609375,-7.475792601600116,-0.07546304166316986
task2,full_test,2,-1,0.03296769,0.03305358989918687,0.03695573,0.03699595226317178,0.8070803880691528,0.8066601856065876,-0.032967690378427505
task2,test_task0,2,0,0.027536506,0.026871595363177597,0.030093696,0.02938052521119574,-32.947322845458984,-31.357396203316156,-0.027536505833268166
task2,test_task1,2,1,0.021380195,0.021247840509581582,0.02275853,0.022559975729942797,-0.09660696983337402,-0.07755580748324342,-0.021380195394158363
task2,test_task2,2,2,0.013365062,0.013053609213350014,0.017633878,0.01686583773392249,0.5818033218383789,0.6174389415259163,-0.013365061953663826
