trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.04296637,0.043007669862993834,0.052332737,0.05213275536835384,0.6131347417831421,0.6160857476446003,-0.04296636953949928
task1,test_task0,1,0,0.02592689,0.025702226394122396,0.027931439,0.027644034754468805,-28.244287490844727,-27.64556002671651,-0.02592688985168934
task1,test_task1,1,1,0.03914819,0.03923852837130706,0.040353477,0.04035586969444382,-2.447660207748413,-2.448068919180886,-0.03914818912744522
task1,test_task2,1,2,0.08414542,0.08165629283938668,0.11926353,0.09548835114111301,-18.129350662231445,-11.262688980926164,-0.08414541929960251
task2,full_test,2,-1,0.03267141,0.03272895017350292,0.039166745,0.03908023658165727,0.7833055257797241,0.7842617036440194,-0.03267141059041023
task2,test_task0,2,0,0.033814494,0.03384113305668602,0.034403045,0.03440463292297617,-43.36579132080078,-43.36988608425787,-0.03381449356675148
task2,test_task1,2,1,0.005936444,0.005712315940871005,0.0069273124,0.006667190878021841,0.8984003663063049,0.9058872869021137,-0.00593644380569458
task2,test_task2,2,2,0.03364267,0.03232465810608251,0.043157365,0.03890214663863136,-1.5049254894256592,-1.0353169911203697,-0.03364266827702522
