trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.036474425,0.03651144391448057,0.04414058,0.04413408973896062,0.7247743606567383,0.7248552541120264,-0.036474425345659256
task1,test_task0,1,0,0.022393605,0.021221900415377856,0.02620814,0.023878945512973218,-24.747013092041016,-20.373947866174127,-0.02239360474050045
task1,test_task1,1,1,0.028515782,0.028616930251071628,0.02922752,0.02926869650373559,-0.8086162805557251,-0.8137159755364571,-0.028515782207250595
task1,test_task2,1,2,0.17606518,0.17422630887658902,0.20415638,0.19989262279638795,-55.05455017089844,-52.73762370469264,-0.17606517672538757
task2,full_test,2,-1,0.049263407,0.04930327081115399,0.059632037,0.05966787172475296,0.4976896047592163,0.49708571539097846,-0.04926340654492378
task2,test_task0,2,0,0.041106936,0.02488146521106115,0.052027974,0.03624149624686673,-100.46780395507812,-48.23417845438084,-0.0411069355905056
task2,test_task1,2,1,0.014794354,0.014899159918636471,0.015694449,0.0157281161658403,0.4784995913505554,0.4762597731691406,-0.01479435432702303
task2,test_task2,2,2,0.05551324,0.05337559093316875,0.06640626,0.06397465259952524,-4.93065881729126,-4.504283540642916,-0.05551324039697647
