trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.034481674,0.03455463592835931,0.03944542,0.039524474742395815,0.7802109718322754,0.7793290875452445,-0.03448167443275452
task1,test_task0,1,0,0.046146177,0.04616361730236054,0.04670576,0.046705422278642945,-80.77025604248047,-80.76907081762057,-0.046146176755428314
task1,test_task1,1,1,0.0138286995,0.013868362467793667,0.016093388,0.016069206331399955,0.4516505002975464,0.45329710948157687,-0.013828699477016926
task1,test_task2,1,2,0.06376189,0.06268187325929829,0.07438553,0.0724936121206215,-6.441524505615234,-6.067802489377385,-0.0637618899345398
task2,full_test,2,-1,0.032301612,0.03233963308377909,0.036415342,0.03640055920686968,0.8126810789108276,0.8128331256733146,-0.032301612198352814
task2,test_task0,2,0,0.054250233,0.054162971157684266,0.05455505,0.05448488192834431,-110.56407165527344,-110.2772757335753,-0.05425023287534714
task2,test_task1,2,1,0.0343439,0.03425314796779225,0.03525742,0.0350658871363923,-1.6318650245666504,-1.6033477068357618,-0.0343438982963562
task2,test_task2,2,2,0.032250885,0.03191602971164136,0.038838495,0.03734570419692403,-1.0286619663238525,-0.8757123203055068,-0.03225088492035866
