epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0003559316784566372,0.0003559316784566372,0.0,0.0,0.0004772496943133464,0.6535136681032214,0.0,0.0,0.0,0.0,0.0001,82.43370723724365
1,0.00032783001828933894,0.000310470633618959,1.7359384670379928e-05,0.0,0.0003519408174935838,0.6538487264710857,0.011286041926241063,0.0,0.052952395149667895,0.0,0.0001,82.4821264743805
2,0.00027284208157102384,0.00023989238731995742,3.2949694251066404e-05,0.0,0.0006512481793201133,0.647589150267926,0.022572344402955753,0.0,0.1207647077802008,0.0,0.0001,82.35013914108276
3,0.0002981934170124446,0.0002482839527283543,4.990946428409033e-05,0.0,0.00016967427724631865,0.6497222769377597,0.03385838444807757,0.0,0.16737279039935157,0.0,0.0001,81.50690698623657
4,0.00027289025655937674,0.00020923148583979604,6.365877071958069e-05,0.0,0.00023002870625730447,0.6567456080116623,0.04514392737286091,0.0,0.23327608512739084,0.0,0.0001,81.26437544822693
5,0.0002648651334475229,0.0001867047861751127,7.816034727241025e-05,0.0,4.148592461554003e-05,0.6548054914997675,0.056430099896740596,0.0,0.2950948894445405,0.0,0.0001,81.71165347099304
6,0.00028011925558535784,0.0001881765872422806,9.194266834307726e-05,0.0,4.6363384628161463e-05,0.6613904131418361,0.06771530657303265,0.0,0.32822687662419736,0.0,0.0001,81.97206711769104
7,0.00027045226254441765,0.00016819201277069315,0.0001022602497737245,0.0,4.373678628835248e-05,0.6449012125104177,0.0790035958263095,0.0,0.3781083168307007,0.0,0.0001,89.91451478004456
8,0.00026628361594317317,0.00015382240590216116,0.00011246121004101199,0.0,8.334526671891481e-05,0.6475852204969097,0.09028938262362327,0.0,0.42233619835255665,0.0,0.0001,109.51327300071716
9,0.0002767292303279735,0.00015295990219913158,0.00012376932812884191,0.0,7.34390015602169e-05,0.656146710419979,0.10157393008839072,0.0,0.44725787724756505,0.0,0.0001,109.0090389251709
10,0.00029680736241804664,0.00015928738240482992,0.00013751998001321675,0.0,0.0001008003559733472,0.6566361223263234,0.11285983222020486,0.0,0.4633307573399169,0.0,0.0001,110.37269639968872
11,0.0002803723716111057,0.0001440159573592087,0.000136356414251897,0.0,5.13827152404839e-05,0.6473191203925973,0.11286178868213323,0.0,0.48634041032057185,0.0,5e-05,115.28497385978699
12,0.0002600318110629619,0.0001256365013596583,0.00013439530970330357,0.0,6.370370615270313e-05,0.6490725834499326,0.11286143174202912,0.0,0.5168418016008135,0.0,5e-05,135.51830005645752
13,0.0002542694493063277,0.00012021698614174352,0.0001340524631645842,0.0,5.734430001706089e-05,0.645250324415952,0.11286221758769917,0.0,0.5272063298610691,0.0,5e-05,115.20853352546692
14,0.000246629734612135,0.00011302917110942394,0.00013360056350271107,0.0,8.449356858080087e-05,0.6534744141265154,0.11286049231436662,0.0,0.5417050126288279,0.0,5e-05,109.28434658050537
15,0.00024629826720958236,0.00011296695154585462,0.00013333131566372776,0.0,7.803663364622544e-05,0.6529532421348418,0.1128606082219449,0.0,0.5413408594964748,0.0,5e-05,125.5620756149292
16,0.00024506165139320856,0.00011150848094734,0.00013355317044586853,0.0,8.113913158559052e-05,0.6445508517308266,0.11286237218077838,0.0,0.5449778440918878,0.0,5e-05,147.47282242774963
17,0.0002406312880185087,0.00010740090409046168,0.000133230383928047,0.0,7.49670215781297e-05,0.6531860198573473,0.11286056195741709,0.0,0.5536702439036079,0.0,2.5e-05,148.15734767913818
18,0.0002301240619263895,9.79643967715872e-05,0.0001321596651548023,0.0,5.18633924723569e-05,0.6516603344468559,0.11286088591025419,0.0,0.5742974639352431,0.0,2.5e-05,145.35338282585144
19,0.00022564424866584914,9.358807088263494e-05,0.0001320561777832142,0.0,8.037474977890064e-05,0.650465002531811,0.11286111849544496,0.0,0.5852406102261124,0.0,2.5e-05,145.88038277626038
20,0.0002280140550361491,9.619037611678202e-05,0.00013182367891936708,0.0,6.600173279125225e-05,0.6473905149490697,0.11286177031437047,0.0,0.5781383910674625,0.0,2.5e-05,144.9843294620514
21,0.00022767809029339677,9.569897860257994e-05,0.00013197911169081684,0.0,8.342245163747373e-05,0.6518494784666737,0.11286083575033541,0.0,0.5796741861315786,0.0,2.5e-05,145.2191276550293
22,0.0002264108400967242,9.482656395089726e-05,0.00013158427614582693,0.0,5.160831552604131e-05,0.6511969381188623,0.11286097080528855,0.0,0.5811748063370696,0.0,2.5e-05,144.4911184310913
23,0.00022419586054658506,9.238059757609728e-05,0.00013181526297048778,0.0,7.259034534110118e-05,0.6550601790770352,0.11286016580789102,0.0,0.5879469078917193,0.0,1.25e-05,142.02455854415894
24,0.0002179782441082527,8.732762997716223e-05,0.00013065061413109047,0.0,6.405119373529056e-05,0.6499091965024828,0.11286123876651043,0.0,0.5993745599042745,0.0,1.25e-05,150.2546625137329
25,0.00021699223839552863,8.572331136049402e-05,0.0001312689270350346,0.0,8.044213682853274e-05,0.6492172421094717,0.1128613932804304,0.0,0.6049475686580112,0.0,1.25e-05,147.3173816204071
