trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.08261233,0.08259896384896359,0.10539412,0.10534237444538487,-0.5690820217132568,-0.5675416285700978,-0.08261232823133469
task0,test_task0,0,0,0.029095922,0.02909881404900742,0.029758492,0.029732164020422853,-32.19527816772461,-32.13656575811894,-0.02909592166543007
task0,test_task1,0,1,0.0777316,0.07774664039676908,0.079824544,0.07977746674458785,-12.490729331970215,-12.474820818847911,-0.07773160189390182
task0,test_task2,0,2,0.26696062,0.26433882267284925,0.27813,0.27521363098925167,-103.03527069091797,-100.86495680728852,-0.26696062088012695
task1,full_test,1,-1,0.025136508,0.02520320381541404,0.028949963,0.029015208626751388,0.8816116452217102,0.88107743391443,-0.02513650804758072
task1,test_task0,1,0,0.068630554,0.06830557393455408,0.072271354,0.07172798247946133,-194.78836059570312,-191.85534838677262,-0.06863055378198624
task1,test_task1,1,1,0.024658056,0.024719711833807924,0.026989626,0.027013863434532003,-0.542255163192749,-0.5450264392992046,-0.02465805597603321
task1,test_task2,1,2,0.063469775,0.06416879326548372,0.07205187,0.07178844489460873,-5.981928825378418,-5.930969955333697,-0.0634697750210762
task2,full_test,2,-1,0.02328256,0.023380586342406057,0.025670694,0.025715936811713937,0.906913161277771,0.9065847938679038,-0.02328255958855152
task2,test_task0,2,0,0.0679108,0.06794486058223835,0.06855886,0.06849590333427225,-175.19012451171875,-174.86671511443478,-0.06791079789400101
task2,test_task1,2,1,0.035121035,0.03506471613916242,0.036351826,0.03623855803602011,-1.7977893352508545,-1.7803811306591162,-0.03512103483080864
task2,test_task2,2,2,0.016040666,0.01686158459258585,0.028537497,0.027638395508188942,-0.09525859355926514,-0.02733144105293528,-0.01604066602885723
