trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.074079424,0.07405011753263617,0.09716219,0.09705208135068057,-0.33354413509368896,-0.3305236045974844,-0.07407942414283752
task0,test_task0,0,0,0.028439388,0.02844585589112612,0.029032312,0.029015049405222166,-30.594953536987305,-30.557390606316737,-0.028439387679100037
task0,test_task1,0,1,0.0615411,0.061433132196402104,0.06415604,0.0639723900655026,-7.71440315246582,-7.664583053866105,-0.06154109910130501
task0,test_task2,0,2,0.074355274,0.07056139189107273,0.09254294,0.0897187979342375,-10.517852783203125,-9.825596045519774,-0.07435527443885803
task1,full_test,1,-1,0.038197845,0.03818667929004962,0.045737375,0.0455924831687282,0.7045014500617981,0.706370713747205,-0.038197845220565796
task1,test_task0,1,0,0.036671955,0.03668534623802855,0.03713673,0.03714874707252609,-50.69657516479492,-50.73003808335467,-0.0366719551384449
task1,test_task1,1,1,0.031521898,0.031383612247589496,0.035226487,0.035023602222948806,-1.627249002456665,-1.597072892825849,-0.03152189776301384
task1,test_task2,1,2,0.03170156,0.03141582199049035,0.036955073,0.036209918188035185,-0.8366782665252686,-0.7633560500193575,-0.03170156106352806
task2,full_test,2,-1,0.050039064,0.04981108576901766,0.06683821,0.06666109865480578,0.36895179748535156,0.3722917874927817,-0.05003906413912773
task2,test_task0,2,0,0.035637323,0.03563745314807527,0.036013626,0.03601077281376485,-47.61699676513672,-47.60929697579448,-0.035637322813272476
task2,test_task1,2,1,0.015200424,0.015004958097747182,0.020576103,0.020213545398559633,0.10362696647644043,0.13493746389318595,-0.015200424008071423
task2,test_task2,2,2,0.05410214,0.05460298660440942,0.06321577,0.06313549592348953,-4.374472618103027,-4.360831012902375,-0.05410214141011238
