trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.054978743,0.055014372405157226,0.06258103,0.0625940375614812,0.44677937030792236,0.4465494684855622,-0.05497874319553375
task0,test_task0,0,0,0.032624554,0.03263044846985432,0.03348842,0.03345566292714505,-41.03815841674805,-40.955967120226816,-0.03262455388903618
task0,test_task1,0,1,0.09387327,0.09388986241023546,0.0963454,0.09633587646074274,-18.65280532836914,-18.64891715477035,-0.0938732698559761
task0,test_task2,0,2,0.06283093,0.061337216295303275,0.070520096,0.06887198489799583,-5.688222885131836,-5.379257372493423,-0.06283093243837357
task1,full_test,1,-1,0.020770172,0.020791345060866637,0.025814898,0.02581908619186172,0.9058644771575928,0.9058338940944357,-0.020770171657204628
task1,test_task0,1,0,0.026358329,0.025515237951965326,0.028780267,0.02763986339714623,-30.04874610900879,-27.636915713226987,-0.026358328759670258
task1,test_task1,1,1,0.0064205583,0.006338114151699286,0.008598265,0.008410164418908593,0.8434748649597168,0.8502483940919467,-0.00642055831849575
task1,test_task2,1,2,0.04796989,0.048282955909318956,0.04972882,0.04957445641304679,-2.325838804244995,-2.305223612737496,-0.047969888895750046
task2,full_test,2,-1,0.05459575,0.05468568373867508,0.05721068,0.057290469763199875,0.5376540422439575,0.5363634737924077,-0.05459574982523918
task2,test_task0,2,0,0.032342773,0.03233989597675584,0.032814007,0.03264551787936593,-39.362022399902344,-38.94860161990835,-0.03234277293086052
task2,test_task1,2,1,0.050683234,0.05059204145642832,0.051545333,0.05140621717211787,-4.625242710113525,-4.594919070732669,-0.05068323388695717
task2,test_task2,2,2,0.010538756,0.010422146704519962,0.014498775,0.014355812062094778,0.7172858715057373,0.7228336814391123,-0.010538755916059017
