trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.047856577,0.04781468588707399,0.065254025,0.06515934430899291,0.39851129055023193,0.4002554814624526,-0.04785657674074173
task1,test_task0,1,0,0.017311476,0.017313556817585788,0.018068613,0.01806756737135837,-11.237820625305176,-11.236404420691212,-0.017311476171016693
task1,test_task1,1,1,0.035019465,0.03503044842003013,0.038565505,0.03848803137871141,-2.1489124298095703,-2.136273378168273,-0.035019464790821075
task1,test_task2,1,2,0.06302229,0.06276521754315897,0.07595149,0.07518358035723414,-6.758138179779053,-6.602053686755274,-0.06302229315042496
task2,full_test,2,-1,0.07078252,0.07071911702434813,0.08986053,0.08930769896385203,-0.14064574241638184,-0.1266542937103221,-0.07078251987695694
task2,test_task0,2,0,0.038804054,0.03727754546457412,0.04252035,0.038772612437318936,-66.77165985107422,-55.35138372681381,-0.038804054260253906
task2,test_task1,2,1,0.028001005,0.0278231533626376,0.043125216,0.04227284501695784,-2.9375410079956055,-2.783427972672376,-0.028001004830002785
task2,test_task2,2,2,0.09310154,0.0930941006019091,0.09631929,0.09597141309157031,-11.477036476135254,-11.387073197578552,-0.09310153871774673
