trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,MAE_smooth,RMSE,RMSE_smooth,R2,R2_smooth,R_value
task0,full_test,0,-1,0.05622441,0.05620787465653886,0.07668699,0.07660097296623888,0.16927683353424072,0.17113949046359278,-0.056224409490823746
task0,test_task0,0,0,0.027922912,0.02792657857953982,0.028417394,0.028419485429506015,-29.270734786987305,-29.275189978863008,-0.027922911569476128
task0,test_task1,0,1,0.035453457,0.0354621074045812,0.038439453,0.03832183427659413,-2.128361225128174,-2.1092460591327593,-0.03545345738530159
task0,test_task2,0,2,0.72164035,0.718666878998927,0.85410637,0.8395770399997594,-980.0900268554688,-946.9949673717515,-0.7216403484344482
task1,full_test,1,-1,0.045157585,0.045208603908961344,0.056136966,0.05610720746591847,0.5548455715179443,0.5553173509689739,-0.04515758529305458
task1,test_task0,1,0,0.030270647,0.028410438955695037,0.042288203,0.03752237930997713,-66.03365325927734,-51.775844975902814,-0.030270647257566452
task1,test_task1,1,1,0.051341657,0.05133504538116467,0.05399317,0.053981490769880916,-5.172203063964844,-5.169532604053168,-0.05134165659546852
task1,test_task2,1,2,0.05342532,0.05234547567484693,0.06354172,0.062344062175056135,-4.430037975311279,-4.227272224327946,-0.053425319492816925
task2,full_test,2,-1,0.056004014,0.055984695894771876,0.074537486,0.07450051229318679,0.2151939868927002,0.21597232155856116,-0.05600401386618614
task2,test_task0,2,0,0.012054071,0.011742329652416885,0.015984153,0.013622780682078034,-8.577095031738281,-5.956423062925773,-0.012054070830345154
task2,test_task1,2,1,0.0238659,0.023909355908258968,0.027839206,0.027812147724123135,-0.6408778429031372,-0.6376895228569848,-0.023865899071097374
task2,test_task2,2,2,0.107187375,0.10715970352226091,0.10960835,0.10937533581022542,-15.157426834106445,-15.088802626743348,-0.10718737542629242
